cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
0,1,6.482884407043457,1.0,0.0,0.15570730366846763,images/CBS This Morning/11118_11359/00011121.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
1,0,5.246384143829346,1.0,0.0,0.11401132307958009,images/CBS This Morning/11118_11359/00011121.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
1,0,6.324669361114502,1.0,0.0,0.12825566136001795,images/CBS This Morning/11118_11359/00011121.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
0,1,5.995485305786133,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011122.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
1,0,4.814215660095215,1.0,0.0,0.11401132307958012,images/CBS This Morning/11118_11359/00011122.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
1,0,5.964420795440674,1.0,0.0,0.128255661360018,images/CBS This Morning/11118_11359/00011122.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
0,1,5.870298862457275,1.0,0.0,0.1557073036684677,images/CBS This Morning/11118_11359/00011123.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
1,0,4.6536078453063965,1.0,0.0,0.11401132307958012,images/CBS This Morning/11118_11359/00011123.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
1,0,5.818965435028076,1.0,0.0,0.12825566136001798,images/CBS This Morning/11118_11359/00011123.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
0,1,5.520763874053955,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011124.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4596768003624084
1,0,4.437711715698242,1.0,0.0,0.11401132307958015,images/CBS This Morning/11118_11359/00011124.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4596768003624084
1,0,5.478848934173584,1.0,0.0,0.128255661360018,images/CBS This Morning/11118_11359/00011124.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4596768003624084
0,1,5.418309688568115,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011125.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4612607686264415
1,0,4.386941909790039,1.0,0.0,0.1140113230795802,images/CBS This Morning/11118_11359/00011125.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4612607686264415
1,0,5.469936847686768,1.0,0.0,0.128255661360018,images/CBS This Morning/11118_11359/00011125.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4612607686264415
0,1,5.318611145019531,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011126.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4602233860591419
1,0,4.60252571105957,1.0,0.0,0.1140113230795802,images/CBS This Morning/11118_11359/00011126.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4602233860591419
1,0,5.378180980682373,1.0,0.0,0.128255661360018,images/CBS This Morning/11118_11359/00011126.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4602233860591419
0,1,5.8638739585876465,1.0,0.0,0.15570730366846786,images/CBS This Morning/11118_11359/00011127.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45884023938640767
1,0,5.871315956115723,1.0,0.0,0.11401132307958038,images/CBS This Morning/11118_11359/00011127.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45884023938640767
1,0,6.145570755004883,1.0,0.0,0.1282556613600181,images/CBS This Morning/11118_11359/00011127.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45884023938640767
0,1,6.464527606964111,1.0,0.0,0.1557073036684678,images/CBS This Morning/11118_11359/00011128.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45973269914976705
1,0,6.86167573928833,1.0,0.0,0.1140113230795803,images/CBS This Morning/11118_11359/00011128.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45973269914976705
1,0,6.937117099761963,1.0,0.0,0.12825566136001806,images/CBS This Morning/11118_11359/00011128.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45973269914976705
0,1,6.733006954193115,1.0,0.0,0.1557073036684678,images/CBS This Morning/11118_11359/00011129.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4594762194427502
1,0,7.26324462890625,1.0,0.0,0.1140113230795803,images/CBS This Morning/11118_11359/00011129.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4594762194427502
1,0,7.188442707061768,1.0,0.0,0.12825566136001806,images/CBS This Morning/11118_11359/00011129.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4594762194427502
0,1,6.5907745361328125,1.0,0.0,0.15570730366846783,images/CBS This Morning/11118_11359/00011130.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4571461509856232
1,0,7.197600364685059,1.0,0.0,0.11401132307958034,images/CBS This Morning/11118_11359/00011130.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4571461509856232
1,0,7.1849822998046875,1.0,0.0,0.1282556613600181,images/CBS This Morning/11118_11359/00011130.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4571461509856232
0,1,7.373869895935059,1.0,0.0,0.15570730366846788,images/CBS This Morning/11118_11359/00011131.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
1,0,8.065317153930664,1.0,0.0,0.11401132307958034,images/CBS This Morning/11118_11359/00011131.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
1,0,8.088346481323242,1.0,0.0,0.12825566136001815,images/CBS This Morning/11118_11359/00011131.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
0,1,7.899999141693115,1.0,0.0,0.15580485291219676,images/CBS This Morning/11118_11359/00011132.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
1,0,8.527873992919922,1.0,0.0,0.11410887232330916,images/CBS This Morning/11118_11359/00011132.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
1,0,8.577007293701172,1.0,0.0,0.128353210603747,images/CBS This Morning/11118_11359/00011132.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
0,1,8.737401962280273,1.0,0.0,0.1559021817747433,images/CBS This Morning/11118_11359/00011133.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
1,0,9.031315803527832,1.0,0.0,0.11420620118585575,images/CBS This Morning/11118_11359/00011133.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
1,0,9.427847862243652,1.0,0.0,0.1284505394662936,images/CBS This Morning/11118_11359/00011133.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
0,1,9.140392303466797,1.0,0.0,0.15599929111494928,images/CBS This Morning/11118_11359/00011134.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
1,0,9.451410293579102,1.0,0.0,0.11430331052606174,images/CBS This Morning/11118_11359/00011134.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
1,0,10.002875328063965,1.0,0.0,0.12854764880649955,images/CBS This Morning/11118_11359/00011134.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
0,1,9.483190536499023,1.0,0.0,0.15609618178527734,images/CBS This Morning/11118_11359/00011135.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
1,0,9.572311401367188,1.0,0.0,0.11440020119638974,images/CBS This Morning/11118_11359/00011135.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
1,0,10.390787124633789,1.0,0.0,0.12864453947682758,images/CBS This Morning/11118_11359/00011135.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
0,1,9.338546752929688,1.0,0.0,0.15619285463187757,images/CBS This Morning/11118_11359/00011136.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
1,0,9.274361610412598,1.0,0.0,0.11449687404299003,images/CBS This Morning/11118_11359/00011136.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
1,0,10.041882514953613,1.0,0.0,0.1287412123234278,images/CBS This Morning/11118_11359/00011136.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
0,1,9.23904800415039,1.0,0.0,0.15628931049465236,images/CBS This Morning/11118_11359/00011137.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
1,0,9.212825775146484,1.0,0.0,0.11459332990576478,images/CBS This Morning/11118_11359/00011137.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
1,0,10.015435218811035,1.0,0.0,0.12883766818620263,images/CBS This Morning/11118_11359/00011137.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
0,1,9.737935066223145,1.0,0.0,0.15638555020732106,images/CBS This Morning/11118_11359/00011138.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
1,0,9.798334121704102,1.0,0.0,0.11468956961843346,images/CBS This Morning/11118_11359/00011138.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
1,0,10.701080322265625,1.0,0.0,0.1289339078988713,images/CBS This Morning/11118_11359/00011138.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
0,1,9.418508529663086,1.0,0.0,0.15648157459748285,images/CBS This Morning/11118_11359/00011139.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
1,0,9.730932235717773,1.0,0.0,0.11478559400859525,images/CBS This Morning/11118_11359/00011139.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
1,0,10.37216567993164,1.0,0.0,0.12902993228903312,images/CBS This Morning/11118_11359/00011139.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
0,1,9.456583023071289,1.0,0.0,0.15657738448668018,images/CBS This Morning/11118_11359/00011140.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.455706217867795
1,0,9.732538223266602,1.0,0.0,0.11488140389779258,images/CBS This Morning/11118_11359/00011140.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.455706217867795
1,0,10.417043685913086,1.0,0.0,0.12912574217823045,images/CBS This Morning/11118_11359/00011140.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.455706217867795
0,1,9.831748962402344,1.0,0.0,0.15667298069046004,images/CBS This Morning/11118_11359/00011141.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
1,0,9.980055809020996,1.0,0.0,0.11497700010157243,images/CBS This Morning/11118_11359/00011141.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
1,0,10.71353530883789,1.0,0.0,0.1292213383820103,images/CBS This Morning/11118_11359/00011141.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
0,1,9.849373817443848,1.0,0.0,0.1567683640184351,images/CBS This Morning/11118_11359/00011142.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
1,0,9.745189666748047,1.0,0.0,0.11507238342954752,images/CBS This Morning/11118_11359/00011142.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
1,0,10.576942443847656,1.0,0.0,0.1293167217099854,images/CBS This Morning/11118_11359/00011142.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
0,1,9.72793197631836,1.0,0.0,0.15676836401843508,images/CBS This Morning/11118_11359/00011143.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
1,0,9.546022415161133,1.0,0.0,0.11507238342954748,images/CBS This Morning/11118_11359/00011143.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
1,0,10.428864479064941,1.0,0.0,0.1293167217099854,images/CBS This Morning/11118_11359/00011143.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
0,1,9.64007568359375,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011144.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
1,0,9.496329307556152,1.0,0.0,0.11507238342954759,images/CBS This Morning/11118_11359/00011144.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
1,0,10.678289413452148,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011144.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
0,1,9.52160930633545,1.0,0.0,0.15676836401843516,images/CBS This Morning/11118_11359/00011145.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
1,0,9.246254920959473,1.0,0.0,0.11507238342954755,images/CBS This Morning/11118_11359/00011145.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
1,0,10.403155326843262,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011145.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
0,1,9.532269477844238,1.0,0.0,0.15676836401843522,images/CBS This Morning/11118_11359/00011146.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
1,0,9.049243927001953,1.0,0.0,0.11507238342954756,images/CBS This Morning/11118_11359/00011146.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
1,0,10.546571731567383,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011146.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
0,1,9.72061538696289,1.0,0.0,0.15676836401843508,images/CBS This Morning/11118_11359/00011147.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45262659548334044
1,0,9.4063720703125,1.0,0.0,0.11507238342954748,images/CBS This Morning/11118_11359/00011147.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45262659548334044
0,1,9.58645248413086,1.0,0.0,0.15676836401843516,images/CBS This Morning/11118_11359/00011148.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45172384799899484
1,0,9.417229652404785,1.0,0.0,0.11507238342954755,images/CBS This Morning/11118_11359/00011148.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45172384799899484
0,1,9.718031883239746,1.0,0.0,0.15676836401843516,images/CBS This Morning/11118_11359/00011149.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45184719671445983
1,0,9.60049057006836,1.0,0.0,0.11507238342954759,images/CBS This Morning/11118_11359/00011149.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45184719671445983
0,1,9.46950912475586,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011150.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45028838908278834
