cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
0,1,0.8607039451599121,1.0,0.0,0.15570730366846763,images/CBS This Morning/11118_11359/00011121.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
1,0,3.2310104370117188,1.0,0.0,0.11401132307958009,images/CBS This Morning/11118_11359/00011121.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
1,0,4.878800868988037,1.0,0.0,0.12825566136001795,images/CBS This Morning/11118_11359/00011121.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4618971391295964
0,1,0.9044265747070312,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011122.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
1,0,3.3115200996398926,1.0,0.0,0.11401132307958012,images/CBS This Morning/11118_11359/00011122.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
1,0,4.94075870513916,1.0,0.0,0.128255661360018,images/CBS This Morning/11118_11359/00011122.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4624990018728948
0,1,1.1722917556762695,1.0,0.0,0.1557073036684677,images/CBS This Morning/11118_11359/00011123.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
1,0,3.4875078201293945,1.0,0.0,0.11401132307958012,images/CBS This Morning/11118_11359/00011123.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
1,0,4.963390827178955,1.0,0.0,0.12825566136001798,images/CBS This Morning/11118_11359/00011123.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4607700892106752
0,1,0.8104429244995117,1.0,0.0,0.15570730366846772,images/CBS This Morning/11118_11359/00011124.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4596768003624084
1,0,3.4009008407592773,1.0,0.0,0.11401132307958015,images/CBS This Morning/11118_11359/00011124.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4596768003624084
