crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
,,,layer_11,,18.334125495000738,effective_rank,1000,layer,0.8939986156260731
,,,layer_11,,0.2864707108593865,normalized_effective_rank,1000,layer,0.013968728369157392
,,,layer_11,,0.09107108671997799,spatial_variance,1000,layer,0.001834989085916635
,,,layer_11,,0.4316136206710765,token_cosine,1000,layer,0.006807063303499495
,,,layer_2,,5.760251582865496,effective_rank,1000,layer,0.2971042947171842
,,,layer_2,,0.09000393098227337,normalized_effective_rank,1000,layer,0.004642254604956003
,,,layer_2,,6.46364530237744,spatial_variance,1000,layer,0.6519364111279426
,,,layer_2,,0.39882478259233123,token_cosine,1000,layer,0.020262076224026294
,,,layer_5,,8.666786265238471,effective_rank,1000,layer,0.16882461613660957
,,,layer_5,,0.1354185353943511,normalized_effective_rank,1000,layer,0.0026378846271345245
,,,layer_5,,6.113626904169315,spatial_variance,1000,layer,0.41185525425713315
,,,layer_5,,0.23792191365998855,token_cosine,1000,layer,0.006611419154356398
,,,layer_8,,15.238032618244105,effective_rank,1000,layer,0.34071268657842385
,,,layer_8,,0.23809425966006414,normalized_effective_rank,1000,layer,0.005323635727787873
,,,layer_8,,1.3235124348090608,spatial_variance,1000,layer,0.09139124257338227
,,,layer_8,,0.1860696890336292,token_cosine,1000,layer,0.0063097678378390325
,,,layer_2,layer_11,0.7708250957225061,directional_novelty,1000,pair,0.009837869194999573
,,,layer_2,layer_11,0.7379835648929347,linear_cka,1000,pair,0.02897256681507319
,,,layer_2,layer_5,0.15275051403139833,directional_novelty,1000,pair,0.01388802026241576
,,,layer_2,layer_5,0.940063970775057,linear_cka,1000,pair,0.02011387163731237
,,,layer_2,layer_8,0.403170671935276,directional_novelty,1000,pair,0.01977292332438185
,,,layer_2,layer_8,0.8803569844629752,linear_cka,1000,pair,0.03928412261225241
,,,layer_5,layer_11,0.7373189088447138,directional_novelty,1000,pair,0.008051355672507594
,,,layer_5,layer_11,0.8306950638476055,linear_cka,1000,pair,0.008761695672977647
,,,layer_5,layer_8,0.2484512180591995,directional_novelty,1000,pair,0.009958924072638542
,,,layer_5,layer_8,0.9678123131322542,linear_cka,1000,pair,0.004965478929541833
,,,layer_8,layer_11,0.6690188676838538,directional_novelty,1000,pair,0.005681244099868331
,,,layer_8,layer_11,0.8872996018859438,linear_cka,1000,pair,0.004533781037758841
1,large,all_in,layer_11,,16.977975581160972,effective_rank,33,layer,0.15759121086300076
1,large,all_out,layer_11,,16.953439806296295,effective_rank,119,layer,0.10234895160285228
2-3,large,all_in,layer_11,,17.68083659793656,effective_rank,18,layer,0.11042572489324753
2-3,large,all_out,layer_11,,17.006467037512515,effective_rank,37,layer,0.4487003591676408
2-3,large,mixed,layer_11,,17.563169131494863,effective_rank,40,layer,0.18924164283582898
4+,medium,all_in,layer_11,,18.828594621328683,effective_rank,480,layer,0.5340535060624348
4+,medium,all_out,layer_11,,17.601973169687277,effective_rank,1,layer,
4+,medium,mixed,layer_11,,18.570016426673146,effective_rank,272,layer,0.7023589978997974
1,large,all_in,layer_11,,0.2652808684556402,normalized_effective_rank,33,layer,0.002462362669734387
1,large,all_out,layer_11,,0.2648974969733796,normalized_effective_rank,119,layer,0.0015992023687945668
2-3,large,all_in,layer_11,,0.2762630718427587,normalized_effective_rank,18,layer,0.0017254019514569927
