crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,metric,people_count,sample_id,scope,value
4+,medium,all_in,layer_2,,token_cosine,4,0,layer,0.39813508250081003
4+,medium,all_in,layer_2,,effective_rank,4,0,layer,5.8967322507965045
4+,medium,all_in,layer_2,,normalized_effective_rank,4,0,layer,0.09213644141869538
4+,medium,all_in,layer_2,,spatial_variance,4,0,layer,6.571804170983087
4+,medium,all_in,layer_5,,token_cosine,4,0,layer,0.2396317169133807
4+,medium,all_in,layer_5,,effective_rank,4,0,layer,8.918305550286918
4+,medium,all_in,layer_5,,normalized_effective_rank,4,0,layer,0.1393485242232331
4+,medium,all_in,layer_5,,spatial_variance,4,0,layer,6.250679559422077
4+,medium,all_in,layer_8,,token_cosine,4,0,layer,0.18175308160245723
4+,medium,all_in,layer_8,,effective_rank,4,0,layer,15.441441514532357
4+,medium,all_in,layer_8,,normalized_effective_rank,4,0,layer,0.24127252366456808
4+,medium,all_in,layer_8,,spatial_variance,4,0,layer,1.3600525721591061
4+,medium,all_in,layer_11,,token_cosine,4,0,layer,0.42758618783845315
4+,medium,all_in,layer_11,,effective_rank,4,0,layer,19.2954309145828
4+,medium,all_in,layer_11,,normalized_effective_rank,4,0,layer,0.3014911080403562
4+,medium,all_in,layer_11,,spatial_variance,4,0,layer,0.09231028789415552
4+,medium,all_in,layer_2,layer_5,linear_cka,4,0,pair,0.9352538714677306
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,0,pair,0.15070221719262478
4+,medium,all_in,layer_2,layer_8,linear_cka,4,0,pair,0.8587864069747345
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,0,pair,0.4060843242487134
4+,medium,all_in,layer_2,layer_11,linear_cka,4,0,pair,0.7278093889412208
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,0,pair,0.7701142237414239
4+,medium,all_in,layer_5,layer_8,linear_cka,4,0,pair,0.9634156113878504
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,0,pair,0.24686119787268468
4+,medium,all_in,layer_5,layer_11,linear_cka,4,0,pair,0.8334746768938911
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,0,pair,0.7377512084943857
4+,medium,all_in,layer_8,layer_11,linear_cka,4,0,pair,0.8978876363158934
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,0,pair,0.6718012146610359
4+,medium,all_in,layer_2,,token_cosine,4,1,layer,0.3980211457834403
4+,medium,all_in,layer_2,,effective_rank,4,1,layer,5.904822881779347
4+,medium,all_in,layer_2,,normalized_effective_rank,4,1,layer,0.09226285752780229
4+,medium,all_in,layer_2,,spatial_variance,4,1,layer,6.554555969791207
4+,medium,all_in,layer_5,,token_cosine,4,1,layer,0.23958660805136292
4+,medium,all_in,layer_5,,effective_rank,4,1,layer,8.930518456200732
4+,medium,all_in,layer_5,,normalized_effective_rank,4,1,layer,0.13953935087813643
4+,medium,all_in,layer_5,,spatial_variance,4,1,layer,6.257714226160448
4+,medium,all_in,layer_8,,token_cosine,4,1,layer,0.18182807179203375
4+,medium,all_in,layer_8,,effective_rank,4,1,layer,15.53222921895093
4+,medium,all_in,layer_8,,normalized_effective_rank,4,1,layer,0.24269108154610827
4+,medium,all_in,layer_8,,spatial_variance,4,1,layer,1.3570865850423324
4+,medium,all_in,layer_11,,token_cosine,4,1,layer,0.4277852909593943
4+,medium,all_in,layer_11,,effective_rank,4,1,layer,19.498813837087987
4+,medium,all_in,layer_11,,normalized_effective_rank,4,1,layer,0.3046689662044998
4+,medium,all_in,layer_11,,spatial_variance,4,1,layer,0.09230664421958894
