component,crowd_bin,mean,metric,n,std,variance_across_observations
ggsf,1,0.056786108958093745,dynamic_range,152,0.0002564326167376801,6.575768692693392e-08
ggsf,2-3,0.05782652633231983,dynamic_range,285,0.001882139940833079,3.5424507568791466e-06
ggsf,4+,0.06497911018521028,dynamic_range,3012,0.00414933485324361,1.721697972434217e-05
ggsf,1,0.042102705123589226,identity_l1,152,0.0002888018455564885,8.340650599683381e-08
ggsf,2-3,0.04041286355309319,identity_l1,285,0.004027208694418781,1.6218409868402225e-05
ggsf,4+,0.05333178200490604,identity_l1,3012,0.005824346192427118,3.392300856924026e-05
ggsf,2-3,0.006662277112665929,inter_person_l1,95,0.0005084100867188174,2.584808162774354e-07
ggsf,4+,0.009622731630704,inter_person_l1,753,0.0008901357464750051,7.923416471526145e-07
ggsf,1,0.9897656068205833,max,152,0.00018410295712518334,3.3893898822237096e-08
ggsf,2-3,0.990581008216791,max,285,0.0007405323163908862,5.483881116192516e-07
ggsf,4+,0.9854847806027212,max,3012,0.0019454258368273268,3.7846816865953047e-06
ggsf,1,0.9578972960773268,mean,152,0.0002888030775809589,8.340721762023336e-08
ggsf,2-3,0.959587135858703,mean,285,0.004027207407068275,1.6218399499545576e-05
ggsf,4+,0.9466682168473286,mean,3012,0.005824346939179936,3.392301726793469e-05
ggsf,1,0.9329794978624896,min,152,0.00021713394203408572,4.7147148783261696e-08
ggsf,2-3,0.9327544818844712,min,285,0.0014554743284928692,2.1184055209017682e-06
ggsf,4+,0.9205056704175109,min,3012,0.004590086745571881,2.1068896331874664e-05
ggsf,1,0.9999786720228986,spatial_entropy,152,4.733732406175005e-07,2.24082224932714e-13
ggsf,2-3,0.9999797439905582,spatial_entropy,285,2.838801437999268e-06,8.05879360438671e-12
ggsf,4+,0.9999737972122058,spatial_entropy,3012,4.885183138859599e-06,2.3865014300198127e-11
ggsf,1,0.016487267137946265,std,152,0.0001833712094818182,3.362500046682485e-08
ggsf,2-3,0.016050033813767267,std,285,0.001096986392084296,1.2033791444181206e-06
ggsf,4+,0.017998293109280198,std,3012,0.0015881832893206826,2.522326160477463e-06
ggsf,1,0.0002718633812420242,variance,152,6.020746035475537e-06,3.62493828236944e-11
ggsf,2-3,0.00025880274081014487,variance,285,3.46349889174439e-05,1.199582457311462e-09
ggsf,4+,0.0003264600428479187,variance,3012,5.89152626383111e-05,3.471008171741176e-09
sasa,1,0.7105357360058512,entropy,152,0.003080271758994757,9.488074109260654e-06
sasa,2-3,0.6329818924558138,entropy,285,0.008066568842887544,6.50695328970441e-05
sasa,4+,0.6736093539334763,entropy,3012,0.02583716562206697,0.0006675591273821193
sasa,2-3,0.0006625479044343687,inter_person_l1,95,5.042678187054615e-05,2.5428603298196424e-09
sasa,4+,0.0009289331107114653,inter_person_l1,753,0.00019115256610527774,3.6539303528632575e-08
sasa,1,0.615790242035138,max_weight,152,0.002763421352330102,7.63649757051393e-06
sasa,2-3,0.6745354288502743,max_weight,285,0.007219032782894007,5.2114434320498385e-05
sasa,4+,0.6698079877205262,max_weight,3012,0.021814817395435688,0.00047588625799620347
sasa,1,0.18301056413053485,uniform_l1,152,0.0012181074059218872,1.4837856523617493e-06
sasa,2-3,0.21226771422089977,uniform_l1,285,0.0036095162576770855,1.3028607614435193e-05
sasa,4+,0.20990399405073282,uniform_l1,3012,0.010907408545972212,0.00011897156118874764
sasa,1,0.02848230692018804,weight_layer_0,152,0.0008095737445181186,6.554096478130878e-07
sasa,2-3,0.011776838784939365,weight_layer_0,285,0.001045493048513562,1.0930557144901814e-06
sasa,4+,0.03640107420652828,weight_layer_0,3012,0.0035484189479728385,1.2591277030332666e-05
sasa,1,0.10688747617563135,weight_layer_1,152,0.0009534690894663951,9.091033045678764e-07
sasa,2-3,0.09966554019534797,weight_layer_1,285,0.0020683760201813018,4.278179360861041e-06
sasa,4+,0.09675816486615584,weight_layer_1,3012,0.003215076922698093,1.0336719618865842e-05
sasa,1,0.2488399748935511,weight_layer_2,152,0.0017201405631002019,2.9588835568226797e-06
sasa,2-3,0.21402219298638794,weight_layer_2,285,0.005206983103475002,2.7112673039874166e-05
sasa,4+,0.1970327724449109,weight_layer_2,3012,0.01597266426417414,0.0002551260036960256
sasa,1,0.615790242035138,weight_layer_3,152,0.002763421352330102,7.63649757051393e-06
sasa,2-3,0.6745354288502743,weight_layer_3,285,0.007219032782894007,5.2114434320498385e-05
sasa,4+,0.6698079877205262,weight_layer_3,3012,0.021814817395435688,0.00047588625799620347
