component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,medium,all_in,mean,4,0,0,0.9564574956893921
ggsf,4+,medium,all_in,variance,4,0,0,0.00028589795692823827
ggsf,4+,medium,all_in,std,4,0,0,0.016908517107367516
ggsf,4+,medium,all_in,min,4,0,0,0.9262102246284485
ggsf,4+,medium,all_in,max,4,0,0,0.9881408214569092
ggsf,4+,medium,all_in,spatial_entropy,4,0,0,0.999977493796011
ggsf,4+,medium,all_in,identity_l1,4,0,0,0.043542519211769104
ggsf,4+,medium,all_in,dynamic_range,4,0,0,0.06193059682846069
ggsf,4+,medium,all_in,mean,4,1,0,0.9427247047424316
ggsf,4+,medium,all_in,variance,4,1,0,0.00035436416510492563
ggsf,4+,medium,all_in,std,4,1,0,0.018824562430381775
ggsf,4+,medium,all_in,min,4,1,0,0.9175078272819519
ggsf,4+,medium,all_in,max,4,1,0,0.9871318340301514
ggsf,4+,medium,all_in,spatial_entropy,4,1,0,0.9999713998094688
ggsf,4+,medium,all_in,identity_l1,4,1,0,0.057275235652923584
ggsf,4+,medium,all_in,dynamic_range,4,1,0,0.06962400674819946
ggsf,4+,medium,all_in,mean,4,2,0,0.9410573244094849
ggsf,4+,medium,all_in,variance,4,2,0,0.00038662864244543016
ggsf,4+,medium,all_in,std,4,2,0,0.019662873819470406
ggsf,4+,medium,all_in,min,4,2,0,0.9144425988197327
ggsf,4+,medium,all_in,max,4,2,0,0.9837910532951355
ggsf,4+,medium,all_in,spatial_entropy,4,2,0,0.9999686536283613
ggsf,4+,medium,all_in,identity_l1,4,2,0,0.05894264206290245
ggsf,4+,medium,all_in,dynamic_range,4,2,0,0.06934845447540283
ggsf,4+,medium,all_in,mean,4,3,0,0.9466826915740967
ggsf,4+,medium,all_in,variance,4,3,0,0.00031060032779350877
ggsf,4+,medium,all_in,std,4,3,0,0.01762385666370392
ggsf,4+,medium,all_in,min,4,3,0,0.9223847985267639
ggsf,4+,medium,all_in,max,4,3,0,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,0,0.9999750945580445
ggsf,4+,medium,all_in,identity_l1,4,3,0,0.05331728979945183
ggsf,4+,medium,all_in,dynamic_range,4,3,0,0.06184035539627075
ggsf,4+,medium,all_in,inter_person_l1,4,all,0,0.009798246435821056
sasa,4+,medium,all_in,entropy,4,0,0,0.6859954160990602
sasa,4+,medium,all_in,max_weight,4,0,0,0.6606605648994446
sasa,4+,medium,all_in,uniform_l1,4,0,0,0.20533028431236744
sasa,4+,medium,all_in,weight_layer_0,4,0,0,0.03897109627723694
sasa,4+,medium,all_in,weight_layer_1,4,0,0,0.0976276621222496
sasa,4+,medium,all_in,weight_layer_2,4,0,0,0.20274066925048828
sasa,4+,medium,all_in,weight_layer_3,4,0,0,0.6606605648994446
sasa,4+,medium,all_in,entropy,4,1,0,0.6931494847092251
sasa,4+,medium,all_in,max_weight,4,1,0,0.6553450226783752
sasa,4+,medium,all_in,uniform_l1,4,1,0,0.20267252810299397
sasa,4+,medium,all_in,weight_layer_0,4,1,0,0.040304042398929596
sasa,4+,medium,all_in,weight_layer_1,4,1,0,0.09970082342624664
sasa,4+,medium,all_in,weight_layer_2,4,1,0,0.20465004444122314
sasa,4+,medium,all_in,weight_layer_3,4,1,0,0.6553450226783752
sasa,4+,medium,all_in,entropy,4,2,0,0.6940196658610359
sasa,4+,medium,all_in,max_weight,4,2,0,0.6546564698219299
sasa,4+,medium,all_in,uniform_l1,4,2,0,0.2023282302543521
sasa,4+,medium,all_in,weight_layer_0,4,2,0,0.04044485464692116
sasa,4+,medium,all_in,weight_layer_1,4,2,0,0.09994727373123169
sasa,4+,medium,all_in,weight_layer_2,4,2,0,0.2049514204263687
sasa,4+,medium,all_in,weight_layer_3,4,2,0,0.6546564698219299
sasa,4+,medium,all_in,entropy,4,3,0,0.6909281266603801
sasa,4+,medium,all_in,max_weight,4,3,0,0.6569777727127075
sasa,4+,medium,all_in,uniform_l1,4,3,0,0.20348889008164406
sasa,4+,medium,all_in,weight_layer_0,4,3,0,0.039899200201034546
sasa,4+,medium,all_in,weight_layer_1,4,3,0,0.09898592531681061
sasa,4+,medium,all_in,weight_layer_2,4,3,0,0.20413708686828613
sasa,4+,medium,all_in,weight_layer_3,4,3,0,0.6569777727127075
