association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.2047643577738787,14740,0.9366152179953864,20655,,0,all,31978,overall,,,,,,,0.8986351936414927,31978,0.10327470210388488,20655,,0,,,,,,,0.20814111261872456,14740,person
,0,0.9530558100971137,1243,,0,1,2482,crowd,,,,,,,0.9039329789894913,2482,0.09440013736758926,1243,,0,,,,,,,,0,person
0.251689749081505,4608,0.9593078842174914,7094,,0,2,10926,crowd,,,,,,,0.9198371431320225,10926,0.07482062316429322,7094,,0,,,,,,,0.08723958333333333,4608,person
0.19023952926238097,3265,0.932100572429689,4900,,0,3,9045,crowd,,,,,,,0.8108046770206173,9045,0.10034674141492529,4900,,0,,,,,,,0.21562021439509954,3265,person
0.22040456250491286,4509,0.9344549576163197,5003,,0,4,6512,crowd,,,,,,,0.9283147448669491,6512,0.11054570017408102,5003,,0,,,,,,,0.22399645154136172,4509,person
0.10326719017941934,2358,0.8751295516543216,2415,,0,5+,3013,crowd,,,,,,,0.9449067519633387,3013,0.18230349050777275,2415,,0,,,,,,,0.4037319762510602,2358,person
0.24268670736420395,8483,0.9539570300428785,13109,,0,large,22816,head_size,,,,,,,0.8927650604806546,22816,0.08083833529845895,13109,,0,,,,,,,0.12224448897795591,8483,person
0.14105158118321193,5029,0.9071829796243,6078,,0,medium,7592,head_size,,,,,,,0.9037010378468622,7592,0.14036886343665403,6078,,0,,,,,,,0.3366474448200438,5029,person
0.20371896844141424,1228,0.9036147620613876,1468,,0,small,1570,head_size,,,,,,,0.9609441593367906,1570,0.150045832806717,1468,,0,,,,,,,0.2752442996742671,1228,person
0.20539741681737636,3100,0.9280497807026626,4900,,0,far,4900,target_distance,,,,,,,,4900,0.1351013177297478,4900,,0,,,,,,,0.2803225806451613,3100,person
0.21112564475323078,7195,0.9435027096716396,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.09239846215556573,10337,,0,,,,,,,0.18860319666435024,7195,person
0.1940260129254465,4445,0.9312210949383387,5418,,0,near,5418,target_distance,,,,,,,,5418,0.0952417149830002,5418,,0,,,,,,,0.18942632170978627,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.2047643577738787,14740,0.9366152179953864,20655,,0,1,20655,inout,,,,,,,,20655,0.10327470210388488,20655,,0,,,,,,,0.20814111261872456,14740,person
0.02817515954955257,2202,0.9305202688082612,2202,,0,close,2480,target_separation,,,,,,,0.9545110087785147,2480,0.12311174498214554,2202,,0,,,,,,,0.39009990917347864,2202,person
0.36700075038615887,5544,0.93792350731755,5544,,0,far,6852,target_separation,,,,,,,0.9488051303510674,6852,0.09680606495336588,5544,,0,,,,,,,0.11598124098124098,5544,person
0.13176047642522043,6994,0.9332201019804529,6994,,0,medium,7725,target_separation,,,,,,,0.9740065332785766,7725,0.11138596154546401,6994,,0,,,,,,,0.22390620531884473,6994,person
,0,0.9416724223092355,5915,,0,shared_only,10219,target_separation,,,,,,,0.7861986595761352,10219,0.09236190538539676,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
,,,,,,all,13127,overall,0.053928678775387526,5545,0.3571430957032498,5545,0.2650907954263086,5545,,,,,,,0.4957730813919978,6410,0.37178931723605685,6410,0.2618099297461284,6410,,,frame
,,,,,,1,2482,crowd,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
,,,,,,2,5463,crowd,0.021701388888888888,2304,0.15811088171260004,2304,0.15811088171260004,2304,,,,,,,0.2487199258736746,2664,0.2487199258736746,2664,0.2739746881601437,2664,,,frame
,,,,,,3,3015,crowd,0.11219390304847578,1334,0.3992793003765431,1334,0.3473782937889806,1334,,,,,,,0.5633769130961112,1677,0.47571156738677056,1677,0.22790452075846448,1677,,,frame
,,,,,,4,1628,crowd,0.04835376111511656,1387,0.49727749712037045,1387,0.2925492825785946,1387,,,,,,,0.7084243874796383,1530,0.4230231945894756,1530,0.2695295169327997,1530,,,frame
,,,,,,5+,539,crowd,0.062117673992674,520,0.7571317673085142,520,0.45475478908084577,520,,,,,,,0.9028630298501142,539,0.5112910106236433,539,0.2852635216974616,539,,,frame
,,,,,,large,9971,head_size,0.06300637466584412,3242,0.2285932176339076,3242,0.18816124859041203,3242,,,,,,,0.37401905672636965,3713,0.2997670897147531,3713,0.26599847157548084,3713,,,frame
,,,,,,medium,3135,head_size,0.04152842118442469,2282,0.5409348148058128,2282,0.3746992489001921,2282,,,,,,,0.6667887471521555,2676,0.4728282184804632,2676,0.2551196967608191,2676,,,frame
,,,,,,small,21,head_size,0.0,21,0.23076222469175495,21,0.23076222469175495,21,,,,,,,0.23076222469175495,21,0.23076222469175495,21,0.37376267528431995,21,,,frame
