bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,0.007063652142456243,0.00027237280345031117,119,overall,0.0036144959993607497,auc,20655,candidate_better
all,0.011778474027381212,-0.002844371159773982,119,overall,0.004251867319668773,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,0.03372828671347631,-0.006973815442928427,80,overall,0.012008141112618725,target_confusion,14740,candidate_better
all,0.02137668625426882,-0.0017503037289242009,80,overall,0.008929624786530654,association_margin,14740,candidate_better
1,0.012385685742584257,-0.009088290763445772,25,crowd,0.0015136194552363255,auc,1243,candidate_better
1,0.011877734167162889,-0.0075495907670921,25,crowd,0.002610769543494147,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,0.0021152551170008694,-0.004477697015726646,62,crowd,-0.001053585186157039,auc,7094,candidate_better
2,0.005585370304762976,-0.004051103438730581,62,crowd,0.0006155097145803269,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,0.014219433768408233,-0.008124440540736699,46,crowd,0.0030381944444444445,target_confusion,4608,candidate_better
2,0.010331449884084073,-0.0038045846114032984,46,crowd,0.00286197766342323,association_margin,4608,candidate_better
3,0.011180808369213228,-0.007483690762638987,23,crowd,0.001968749172048635,auc,4900,candidate_better
3,0.021587297153061576,-0.017556857080418563,23,crowd,0.0015699026639515465,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.074255301313477,-0.06030401018128928,21,crowd,-0.0021439509954058193,target_confusion,3265,candidate_better
3,0.04452386696463003,-0.018125681475522227,21,crowd,0.008432085003789025,association_margin,3265,candidate_better
4,0.011328720191141799,0.002306420669795592,11,crowd,0.007022743180793233,auc,5003,candidate_better
4,0.020981665605136892,-0.004274904383601332,11,crowd,0.009223501070447766,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,0.05748694827556633,-0.006921469248120074,11,crowd,0.023286759813705923,target_confusion,4509,candidate_better
4,0.028126899616462524,-0.00880998957336248,11,crowd,0.011323298100501204,association_margin,4509,candidate_better
5+,0.023319700783154113,0.0052568434545231845,5,crowd,0.014686734624425967,auc,2415,candidate_better
5+,0.05868960627371395,-0.016953692721490537,5,crowd,0.010920500257204832,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,0.08930817610062892,-0.008530210739427366,5,crowd,0.0275657336726039,target_confusion,2358,candidate_better
5+,0.0646313138992631,-0.012102213193708976,5,crowd,0.01689871399825129,association_margin,2358,candidate_better
large,0.0038960028890175093,-0.002497561424445899,107,head_size,0.0006778668628767923,auc,13109,candidate_better
large,0.01574190760370362,-0.003435570111484117,107,head_size,0.00424410433212245,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,0.02735782841329157,-0.02170050158265586,72,head_size,-0.0007072969468348461,target_confusion,8483,candidate_better
large,0.030743846729812965,-0.007399541447174629,72,head_size,0.008199674259820848,association_margin,8483,candidate_better
medium,0.01712240318828063,0.0034770323737714163,41,head_size,0.01015240525184011,auc,6078,candidate_better
medium,0.023171808690302442,-0.004831169166273379,41,head_size,0.007776097566413839,l2,6078,candidate_better
medium,,,0,head_size,,avg_l2,0,candidate_better
