association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.21369398256040933,14740,0.9402297139947472,20655,,0,all,31978,overall,,,,,,,0.886798878113799,31978,0.0990228347842161,20655,,0,,,,,,,0.19613297150610584,14740,person
,0,0.95456942955235,1243,,0,1,2482,crowd,,,,,,,0.8913959149823785,2482,0.09178936782409511,1243,,0,,,,,,,,0,person
0.2545517267449282,4608,0.9582542990313343,7094,,0,2,10926,crowd,,,,,,,0.9295554694038353,10926,0.07420511344971288,7094,,0,,,,,,,0.0842013888888889,4608,person
0.19867161426616997,3265,0.9340693216017376,4900,,0,3,9045,crowd,,,,,,,0.7775117588823856,9045,0.09877683875097375,4900,,0,,,,,,,0.21776416539050536,3265,person
0.23172786060541406,4509,0.9414777007971129,5003,,0,4,6512,crowd,,,,,,,0.9160524542867021,6512,0.10132219910363327,5003,,0,,,,,,,0.2007096917276558,4509,person
0.12016590417767063,2358,0.8898162862787476,2415,,0,5+,3013,crowd,,,,,,,0.9671162559615096,3013,0.17138299025056794,2415,,0,,,,,,,0.3761662425784563,2358,person
0.2508863816240248,8483,0.9546348969057552,13109,,0,large,22816,head_size,,,,,,,0.8804466539129345,22816,0.0765942309663365,13109,,0,,,,,,,0.12295178592479075,8483,person
0.1545886311097257,5029,0.9173353848761401,6078,,0,medium,7592,head_size,,,,,,,0.8951392024368106,7592,0.1325927658702402,6078,,0,,,,,,,0.3014515808311792,5029,person
0.19882239558063566,1228,0.906383794105434,1468,,0,small,1570,head_size,,,,,,,0.9541684857426393,1570,0.16031610883580283,1468,,0,,,,,,,0.2703583061889251,1228,person
0.2368580445328225,3100,0.9329405957141816,4900,,0,far,4900,target_distance,,,,,,,,4900,0.12111176274451954,4900,,0,,,,,,,0.2567741935483871,3100,person
