bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,-0.12901290766334833,-0.19496606767255192,119,overall,-0.16150586378764314,auc,20655,candidate_better
all,-0.12217113821759239,-0.17039771235039514,119,overall,-0.14569212342818116,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,-0.2659752032662181,-0.37754182555409715,80,overall,-0.31906377204884667,target_confusion,14740,candidate_better
all,-0.15830173401422537,-0.2443086730902969,80,overall,-0.19988248589759275,association_margin,14740,candidate_better
1,-0.1505541918187093,-0.2549437609308093,25,crowd,-0.1963681295166825,auc,1243,candidate_better
1,-0.12440739152192312,-0.2568540394486019,25,crowd,-0.18606699446968994,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,-0.0984545801601926,-0.16233367656532816,62,crowd,-0.12956373465226573,auc,7094,candidate_better
2,-0.11892726548826937,-0.1733950339824071,62,crowd,-0.1458441055550744,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,-0.28087210735275026,-0.4570037610050066,46,crowd,-0.3639322916666667,target_confusion,4608,candidate_better
2,-0.16519955290180308,-0.25873126541735736,46,crowd,-0.21191367692594382,association_margin,4608,candidate_better
3,-0.13417437661337211,-0.25797022140052556,23,crowd,-0.20177935512663847,auc,4900,candidate_better
3,-0.11457084200606249,-0.22271790810118072,23,crowd,-0.17392359000583643,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,-0.20141711229946527,-0.4309295556740346,21,crowd,-0.31638591117917303,target_confusion,3265,candidate_better
3,-0.10663562437174144,-0.2876627456337784,21,crowd,-0.19525976805417283,association_margin,3265,candidate_better
4,-0.12464785935017979,-0.27147370463111187,11,crowd,-0.19163612042159853,auc,5003,candidate_better
4,-0.10385169163061744,-0.20015287327017126,11,crowd,-0.14874900022693652,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,-0.27259116932168,-0.4664453692852827,11,crowd,-0.3530716345087603,target_confusion,4509,candidate_better
4,-0.15204502250567833,-0.3537917938191386,11,crowd,-0.23393518450994563,association_margin,4509,candidate_better
5+,-0.0006501720010262236,-0.21070024071659813,5,crowd,-0.09325819765282566,auc,2415,candidate_better
5+,-0.010238736700863008,-0.13119450106500824,5,crowd,-0.060850770729440166,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,-0.08754933620380337,-0.29874213836477986,5,crowd,-0.17005937234944868,target_confusion,2358,candidate_better
5+,-0.07606262356952592,-0.17850651979619878,5,crowd,-0.11765594961982584,association_margin,2358,candidate_better
large,-0.13947214310503273,-0.2028892378152789,107,head_size,-0.17303968826310012,auc,13109,candidate_better
