bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,-0.05358768407808713,-0.08451781438875218,119,overall,-0.067862976865788,auc,20655,candidate_better
all,-0.053327409414179676,-0.09636365398652329,119,overall,-0.07383703969689703,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,-0.0755141851202508,-0.15720892240184497,80,overall,-0.11506105834464044,target_confusion,14740,candidate_better
all,-0.0640545525844692,-0.1333912007657965,80,overall,-0.09651033239788911,association_margin,14740,candidate_better
1,-0.05386596554253555,-0.14451028983872674,25,crowd,-0.08991771648489373,auc,1243,candidate_better
1,-0.04572000903350028,-0.12044485126581175,25,crowd,-0.07621655461334503,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,-0.04331259012649353,-0.09278642997785286,62,crowd,-0.06559120009946537,auc,7094,candidate_better
2,-0.042424725417465836,-0.09621809089250946,62,crowd,-0.06815278227059335,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,-0.05405030975559945,-0.1613810014418843,46,crowd,-0.10633680555555555,target_confusion,4608,candidate_better
2,-0.04860237562636562,-0.12571129320628008,46,crowd,-0.08585001769736694,association_margin,4608,candidate_better
3,-0.03686372633417167,-0.10364722071768225,23,crowd,-0.06584546762189726,auc,4900,candidate_better
3,-0.043300702736696964,-0.1465837285574221,23,crowd,-0.08739509564735828,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,-0.01955952931218715,-0.14721113674627426,21,crowd,-0.07656967840735068,target_confusion,3265,candidate_better
3,-0.02906979397580116,-0.1337118037013748,21,crowd,-0.07151394882995096,association_margin,3265,candidate_better
4,-0.04510289057189153,-0.10631925978893077,11,crowd,-0.07564311732878463,auc,5003,candidate_better
4,-0.03550634385056398,-0.1406408875309101,11,crowd,-0.0845963172333129,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,-0.07716840161447341,-0.25741147522915164,11,crowd,-0.1681082279884675,target_confusion,4509,candidate_better
4,-0.06124817576129739,-0.23652909357508792,11,crowd,-0.1422168737479614,association_margin,4509,candidate_better
5+,-0.02077820794680423,-0.11444778758796798,5,crowd,-0.05116057338439538,auc,2415,candidate_better
5+,-0.009602253932049548,-0.09073040861459332,5,crowd,-0.039511261423234356,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,-0.022909507445589918,-0.1740519202462197,5,crowd,-0.08396946564885496,target_confusion,2358,candidate_better
5+,-0.027305159261187317,-0.09307073900890185,5,crowd,-0.06455321939612854,association_margin,2358,candidate_better
large,-0.05009762643758364,-0.08787589923524927,107,head_size,-0.06718350574453301,auc,13109,candidate_better
large,-0.04505398796678819,-0.09352054566099643,107,head_size,-0.06692527910254553,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,-0.06003518337084187,-0.1737069229869687,72,head_size,-0.11022044088176353,target_confusion,8483,candidate_better
large,-0.05329039844161869,-0.141307803796232,72,head_size,-0.09119566865910719,association_margin,8483,candidate_better
medium,-0.04902833171699823,-0.10629391032210056,41,head_size,-0.07487289929551816,auc,6078,candidate_better
medium,-0.05234452715358665,-0.15133256981861823,41,head_size,-0.09576854413337865,l2,6078,candidate_better
medium,,,0,head_size,,avg_l2,0,candidate_better
medium,,,0,head_size,,min_l2,0,candidate_better
medium,-0.07520697310882474,-0.21695903144986067,37,head_size,-0.14157884271226884,target_confusion,5029,candidate_better
medium,-0.061046421304935025,-0.1864277253244144,37,head_size,-0.1162448452381772,association_margin,5029,candidate_better
small,-0.0037487445095709944,-0.11601664728469782,13,head_size,-0.04490717196158618,auc,1468,candidate_better
small,-0.012464126745141182,-0.10083583862680466,13,head_size,-0.04475433238519295,l2,1468,candidate_better
small,,,0,head_size,,avg_l2,0,candidate_better
small,,,0,head_size,,min_l2,0,candidate_better
