bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,0.0020941669775824006,-0.00010828309054247569,119,overall,0.000860533895116754,auc,20655,candidate_better
all,0.0009574478277250268,-0.0019554463222962925,119,overall,-0.00041358094350448464,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,0.008037357808307912,-0.0009844807598391595,80,overall,0.0030529172320217096,target_confusion,14740,candidate_better
all,0.0031467094525395147,-0.0029943708478599737,80,overall,-0.00024376898164221093,association_margin,14740,candidate_better
1,0.003769209346645176,-0.0006045121326670693,25,crowd,0.001288392617455786,auc,1243,candidate_better
1,8.539451960694513e-05,-0.005645753783934605,25,crowd,-0.002600483293245409,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,0.0009879155375261616,-0.0008211529491778959,62,crowd,5.2548254893766154e-05,auc,7094,candidate_better
2,0.00128268363103353,-0.0029607798111949556,62,crowd,-0.0007750287469703051,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,0.004148272009784798,-0.0009378049930089746,46,crowd,0.0013020833333333333,target_confusion,4608,candidate_better
2,0.0008689500153622708,-0.0022363845660147716,46,crowd,-0.0007344664850330651,association_margin,4608,candidate_better
3,0.004321947542087661,-0.0009863818351745204,23,crowd,0.0013935799505498416,auc,4900,candidate_better
3,0.0036340944988892876,-0.0034817682361184075,23,crowd,0.0002869800872238767,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.02777898550724637,-0.0023756781523719115,21,crowd,0.009800918836140888,target_confusion,3265,candidate_better
3,0.016618257630186595,-0.005339944748189293,21,crowd,0.0039369143596118625,association_margin,3265,candidate_better
4,0.0011012564579761853,-0.0007508869720867516,11,crowd,4.762356203785349e-05,auc,5003,candidate_better
4,0.0012117947734987273,-0.004642746127185377,11,crowd,-0.0014041051039996953,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,0.0037233567886965635,-0.009951644144348,11,crowd,-0.0022177866489243737,target_confusion,4509,candidate_better
4,0.0012627379497406415,-0.00913107445017929,11,crowd,-0.0028352000179627215,association_margin,4509,candidate_better
5+,0.008923359358104394,-0.0014196587152276534,5,crowd,0.003616263280063366,auc,2415,candidate_better
5+,0.005712939509140941,-0.001994869015437371,5,crowd,0.002404337757490574,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,0.013447432762836185,-0.0025157232704402514,5,crowd,0.00720949957591179,target_confusion,2358,candidate_better
5+,0.0021317728932037944,-0.0040587672030264746,5,crowd,-0.00011825349003928847,association_margin,2358,candidate_better
large,0.0010306220764884644,-0.000648819349923569,107,head_size,5.7300159450724444e-05,auc,13109,candidate_better
large,0.0004627719621289635,-0.002507930318566434,107,head_size,-0.0009069385041232038,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,0.0021760922531590863,-0.0047513513848601125,72,head_size,-0.0010609454202522692,target_confusion,8483,candidate_better
large,0.0005065484876945979,-0.004898492824792377,72,head_size,-0.0019511439820889627,association_margin,8483,candidate_better
medium,0.0047649984688341775,-0.00017318043403941467,41,head_size,0.0021283685107590113,auc,6078,candidate_better
medium,0.003376658687482777,-0.0028661482615266296,41,head_size,0.0005426119745992057,l2,6078,candidate_better
medium,,,0,head_size,,avg_l2,0,candidate_better
medium,,,0,head_size,,min_l2,0,candidate_better
medium,0.02035573921065705,-0.000431188932133112,37,head_size,0.00914694770332074,target_confusion,5029,candidate_better
medium,0.010597626573352776,-0.0038217697716407904,37,head_size,0.002557044066991979,association_margin,5029,candidate_better
small,0.0076362705290225685,-0.0016030816783669573,13,head_size,0.002784029976160581,auc,1468,candidate_better
small,0.006024756118372314,-0.008171302333464926,13,head_size,3.3070082324232595e-05,l2,1468,candidate_better
small,,,0,head_size,,avg_l2,0,candidate_better
small,,,0,head_size,,min_l2,0,candidate_better
