bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,0.0002933079930326273,-0.00037163160917593743,119,overall,-5.288484297214832e-05,auc,20655,candidate_better
all,0.0005687651477060318,-0.0009328203988042494,119,overall,-0.00017573015032903774,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,0.002227858936246804,-0.0028868748597585094,80,overall,-0.00033921302578018993,target_confusion,14740,candidate_better
all,0.0005075077381314722,-0.0020172750453069177,80,overall,-0.0007077274593769097,association_margin,14740,candidate_better
1,9.19919776965101e-05,-0.0006823349059680594,25,crowd,-0.00027135604677080917,auc,1243,candidate_better
1,0.0010572383940141673,-0.0012058055508808135,25,crowd,-0.00012562425621276022,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,0.0006129412712609847,-0.0002568989405061164,62,crowd,0.0001487834840122914,auc,7094,candidate_better
2,0.0009701010057217666,-0.0008322664771846052,62,crowd,3.1002269576957993e-06,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,0.0008617907611183121,-0.004034533241622794,46,crowd,-0.0015190972222222222,target_confusion,4608,candidate_better
2,-0.00031332180739559307,-0.0035646939441927113,46,crowd,-0.0017895101411884802,association_margin,4608,candidate_better
3,0.0006858230347367019,-0.00048493949603746326,23,crowd,2.7246110558945944e-06,auc,4900,candidate_better
3,0.0005265597318709573,-0.003529432127545161,23,crowd,-0.001306405063240071,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.0006578975483454424,-0.010880100707228366,21,crowd,-0.004594180704441042,target_confusion,3265,candidate_better
3,0.00043938936768495967,-0.006640061668555702,21,crowd,-0.0028047634269889516,association_margin,3265,candidate_better
4,0.0011519472319882723,-0.0005353695016916624,11,crowd,0.00015331515278445073,auc,5003,candidate_better
4,0.0027553819390618976,0.00014750539758269472,11,crowd,0.0011423176099295555,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,0.010049947324261748,0.0005997492275578581,11,crowd,0.004657351962741184,target_confusion,4509,candidate_better
4,0.004219937446481973,1.4732860307048381e-05,11,crowd,0.0016059143719119654,association_margin,4509,candidate_better
5+,-0.00023425782772274755,-0.002603069683250964,5,crowd,-0.0010728352814042622,auc,2415,candidate_better
5+,0.0014632021461041902,-0.0033921839502262605,5,crowd,-0.0011632209139598034,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,0.005590496156533892,-0.00527338329170136,5,crowd,-0.0016963528413910093,target_confusion,2358,candidate_better
5+,0.003009368448172549,-0.0019202620929898585,5,crowd,-0.00011423042173505269,association_margin,2358,candidate_better
large,0.00040788914732583397,-0.00013142678774779245,107,head_size,0.0001110432147453106,auc,13109,candidate_better
large,0.0007003397792738375,-0.00019197404224230994,107,head_size,0.00020754502749005578,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,0.0030499061993306455,-0.0005179991645930343,72,head_size,0.0009430625957797949,target_confusion,8483,candidate_better
large,0.0011309653781280049,-0.0009258332357472455,72,head_size,0.00013906845342873952,association_margin,8483,candidate_better
medium,0.0005337460572185002,-0.001357917697225873,41,head_size,-0.0005131893987455326,auc,6078,candidate_better
medium,0.0011001833679355703,-0.004104432557707225,41,head_size,-0.0014576649406965335,l2,6078,candidate_better
medium,,,0,head_size,,avg_l2,0,candidate_better
medium,,,0,head_size,,min_l2,0,candidate_better
medium,0.003095986067916543,-0.01005021783608603,37,head_size,-0.0031815470272419963,target_confusion,5029,candidate_better
medium,0.0004344129697998232,-0.006399639689234291,37,head_size,-0.0027360969173181025,association_margin,5029,candidate_better
small,0.0017818399078024607,-0.0016346820910466237,13,head_size,0.00038907577104179016,auc,1468,candidate_better
small,0.004929561342675888,-0.00021885415797352582,13,head_size,0.0017093143658992599,l2,1468,candidate_better
small,,,0,head_size,,avg_l2,0,candidate_better
small,,,0,head_size,,min_l2,0,candidate_better
small,0.009074822636528625,-0.0022437023413444646,13,head_size,0.0024429967426710096,target_confusion,1228,candidate_better
small,0.005867421213342599,-0.00025455551139731935,13,head_size,0.0017493574556523579,association_margin,1228,candidate_better
0,,,0,inout,,auc,0,candidate_better
0,,,0,inout,,l2,0,candidate_better
0,,,0,inout,,avg_l2,0,candidate_better
0,,,0,inout,,min_l2,0,candidate_better
0,,,0,inout,,target_confusion,0,candidate_better
0,,,0,inout,,association_margin,0,candidate_better
1,0.0002933079930326273,-0.00037163160917593743,119,inout,-5.288484297214832e-05,auc,20655,candidate_better
1,0.0005687651477060318,-0.0009328203988042494,119,inout,-0.00017573015032903774,l2,20655,candidate_better
1,,,0,inout,,avg_l2,0,candidate_better
1,,,0,inout,,min_l2,0,candidate_better
1,0.002227858936246804,-0.0028868748597585094,80,inout,-0.00033921302578018993,target_confusion,14740,candidate_better
1,0.0005075077381314722,-0.0020172750453069177,80,inout,-0.0007077274593769097,association_margin,14740,candidate_better
far,0.0008013104803093868,-1.91675619769045e-05,82,target_distance,0.0004003881462736436,auc,4900,candidate_better
far,0.0021300762307926236,0.0002004526333507033,82,target_distance,0.001024341467930992,l2,4900,candidate_better
far,,,0,target_distance,,avg_l2,0,candidate_better
far,,,0,target_distance,,min_l2,0,candidate_better
far,0.0034369541884661206,-0.0016150131787956684,55,target_distance,0.0006451612903225806,target_confusion,3100,candidate_better
far,0.002446462159544844,-0.0005333680235761204,55,target_distance,0.0009649517400780907,association_margin,3100,candidate_better
medium,5.5858019132444496e-05,-0.0006019113617946933,104,target_distance,-0.00027797189855684656,auc,10337,candidate_better
medium,0.0008400015343961006,-0.0012559328264308996,104,target_distance,-0.00017419256918688484,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,0.004583060948004726,-0.0025974338257925516,72,target_distance,0.0009728978457261987,target_confusion,7195,candidate_better
medium,0.0007584049486565024,-0.0027742626665697647,72,target_distance,-0.0008035864732566183,association_margin,7195,candidate_better
near,0.0007564545091050008,-0.0007578983473234606,59,target_distance,-3.337815299897636e-05,auc,5418,candidate_better
near,0.0004199606949349237,-0.0030263669925689783,59,target_distance,-0.0012639997896314705,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
