bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,-0.02933814520332759,-0.04239252223101732,119,overall,-0.036066724855109505,auc,20655,candidate_better
all,-0.023698994021492687,-0.04932643929961751,119,overall,-0.0370161196383673,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,-0.037279615827529165,-0.08809109916263481,80,overall,-0.0649932157394844,target_confusion,14740,candidate_better
all,-0.025247866139141033,-0.06919258828817823,80,overall,-0.04793018441234385,association_margin,14740,candidate_better
1,-0.01929001425437837,-0.06084460508318987,25,crowd,-0.037029708130831625,auc,1243,candidate_better
1,-0.0054761668026517395,-0.05177319111988283,25,crowd,-0.024274972524432524,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,-0.020594362735621468,-0.042281679850210994,62,crowd,-0.031039445391194034,auc,7094,candidate_better
2,-0.010131270973523137,-0.043020387204852614,62,crowd,-0.02604046768647941,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,-0.009417890169419074,-0.07151915849930349,46,crowd,-0.037543402777777776,target_confusion,4608,candidate_better
2,-0.005489385651332952,-0.052344166427927115,46,crowd,-0.02688979478332571,association_margin,4608,candidate_better
3,-0.021898334525143934,-0.044591955301906246,23,crowd,-0.03128796242105637,auc,4900,candidate_better
3,-0.0032482354441788677,-0.06788518018123474,23,crowd,-0.03524226848487569,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.0016986877860019106,-0.12292242868458976,21,crowd,-0.053905053598774885,target_confusion,3265,candidate_better
3,-0.011703267909226973,-0.10050383744592545,21,crowd,-0.05417001812188305,association_margin,3265,candidate_better
4,-0.02069578318112781,-0.05482654715085002,11,crowd,-0.038341679295136454,auc,5003,candidate_better
4,-0.01975843588890264,-0.08363918732343877,11,crowd,-0.05253533731067697,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,-0.042722500596516416,-0.17036264014138017,11,crowd,-0.10933688179197161,target_confusion,4509,candidate_better
4,-0.024673396597864668,-0.12660053431035656,11,crowd,-0.07733777279204386,association_margin,4509,candidate_better
5+,-0.04961360430979121,-0.06527842167368886,5,crowd,-0.05532174397258329,auc,2415,candidate_better
5+,-0.024158660349818166,-0.06702676220247643,5,crowd,-0.04726363328095826,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,-0.02391304347826087,-0.08240534521158129,5,crowd,-0.04919423240033927,target_confusion,2358,candidate_better
5+,0.004809357352087053,-0.05025247199596905,5,crowd,-0.024173713820657163,association_margin,2358,candidate_better
large,-0.020716183823650175,-0.035299043021489854,107,head_size,-0.02780606687794112,auc,13109,candidate_better
large,-0.014188998759843485,-0.04667272844329825,107,head_size,-0.029408281152328405,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,-0.01588651662253604,-0.08651164068976312,72,head_size,-0.05186844276788872,target_confusion,8483,candidate_better
