bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,-0.16671940162796536,-0.22932372797710276,119,overall,-0.19757258864275268,auc,20655,candidate_better
all,-0.15922016786282914,-0.20698380478401254,119,overall,-0.1827082430665485,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,-0.3307994375562553,-0.43689954681784104,80,overall,-0.3840569877883311,target_confusion,14740,candidate_better
all,-0.19962780369846503,-0.2964266041473523,80,overall,-0.24781267030993664,association_margin,14740,candidate_better
1,-0.18874770773329344,-0.29009713596235653,25,crowd,-0.23339783764751412,auc,1243,candidate_better
1,-0.15239109411626078,-0.2759965841118963,25,crowd,-0.2103419669941225,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,-0.13001928566318677,-0.19336669572996268,62,crowd,-0.16060318004345975,auc,7094,candidate_better
2,-0.14180373923572293,-0.20159151576885168,62,crowd,-0.17188457324155382,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,-0.32475600764140833,-0.4844162501286287,46,crowd,-0.4014756944444444,target_confusion,4608,candidate_better
2,-0.1903207556476692,-0.2861787131477863,46,crowd,-0.23880347170926955,association_margin,4608,candidate_better
3,-0.17296723109727727,-0.288403098639461,23,crowd,-0.23306731754769489,auc,4900,candidate_better
3,-0.16181169692536163,-0.24806494746996482,23,crowd,-0.20916585849071212,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,-0.294582283805987,-0.4541466271481563,21,crowd,-0.37029096477794793,target_confusion,3265,candidate_better
3,-0.1773746386784189,-0.3301610608516713,21,crowd,-0.24942978617605588,association_margin,3265,candidate_better
4,-0.163686582033856,-0.3017930309466371,11,crowd,-0.22997779971673496,auc,5003,candidate_better
4,-0.1440005750966243,-0.2512604303394205,11,crowd,-0.2012843375376135,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,-0.38373997364263723,-0.5381405432133718,11,crowd,-0.4624085163007319,target_confusion,4509,candidate_better
4,-0.21087453416882568,-0.41423265283249555,11,crowd,-0.3112729573019895,association_margin,4509,candidate_better
