bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,3.602739267921818e-06,-5.779386748045586e-05,119,overall,-2.9582108824045525e-05,auc,20655,candidate_better
all,0.00018045472607081445,-0.00015038438598588127,119,overall,5.0648175988403845e-06,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,0.0006507050596323664,-0.00022832831331390902,80,overall,0.00020352781546811397,target_confusion,14740,candidate_better
all,0.0003680026160685556,-9.274381673482273e-05,80,overall,0.00014459700110190727,association_margin,14740,candidate_better
1,6.61395997541186e-05,-9.215605694491467e-06,25,crowd,1.9707850020355914e-05,auc,1243,candidate_better
1,0.00014489487291728868,-0.00021684927878339751,25,crowd,-4.308864832104258e-05,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,4.467630067092787e-05,-4.376886291871535e-05,62,crowd,1.1462901556606352e-06,auc,7094,candidate_better
2,0.0006452124445385694,-5.320715246453569e-05,62,crowd,0.00026051903783667603,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,0.00103822485653881,-0.00048015218666870753,46,crowd,0.00021701388888888888,target_confusion,4608,candidate_better
2,0.00032428196371255257,-0.0005264495039472663,46,crowd,-3.646385220312947e-05,association_margin,4608,candidate_better
3,6.256155482779684e-05,-4.6894821389427004e-05,23,crowd,5.105166710362044e-06,auc,4900,candidate_better
3,-6.926684429158723e-05,-0.0008556055747804829,23,crowd,-0.0003962792077135819,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.0008460356246634047,-0.000947542351853105,21,crowd,0.0,target_confusion,3265,candidate_better
3,0.00022424516180711827,-0.000492617456509511,21,crowd,-9.056337193398533e-05,association_margin,3265,candidate_better
4,-3.203418854068388e-05,-0.00014983099795030106,11,crowd,-9.894881712611782e-05,auc,5003,candidate_better
