association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.1171836501625202,14740,0.8723667371289591,20655,,0,all,31978,overall,,,,,,,0.8672788591917167,31978,0.17285987448111312,20655,,0,,,,,,,0.3111940298507463,14740,person
,0,0.8646517130674564,1243,,0,1,2482,crowd,,,,,,,0.7369728608932562,2482,0.16800592243744014,1243,,0,,,,,,,,0,person
0.1687017090475613,4608,0.8926630989318689,7094,,0,2,10926,crowd,,,,,,,0.8741919995768813,10926,0.14235789572030624,7094,,0,,,,,,,0.19053819444444445,4608,person
0.127157665436219,3265,0.8682238539798405,4900,,0,3,9045,crowd,,,,,,,0.7787775525908988,9045,0.18617193439833202,4900,,0,,,,,,,0.29433384379785604,3265,person
0.08951098685745267,4509,0.8658345834683283,5003,,0,4,6512,crowd,,,,,,,0.8904583322890884,6512,0.1859185163369462,5003,,0,,,,,,,0.3688179197161233,4509,person
0.0556126847815421,2358,0.8386557128943523,2415,,0,5+,3013,crowd,,,,,,,0.9612247318683167,3013,0.2108942516738023,2415,,0,,,,,,,0.46013570822731126,2358,person
0.15969071296491763,8483,0.8874513911612223,13109,,0,large,22816,head_size,,,,,,,0.8345950313542845,22816,0.14351951006888203,13109,,0,,,,,,,0.23317222680655428,8483,person
0.03834378587154847,5029,0.8424624855806219,6078,,0,medium,7592,head_size,,,,,,,0.899091232643452,7592,0.22836131000361884,6078,,0,,,,,,,0.443030423543448,5029,person
0.1464167639789368,1228,0.8614766221438479,1468,,0,small,1570,head_size,,,,,,,0.9333905895228234,1570,0.2050704412209958,1468,,0,,,,,,,0.31026058631921827,1228,person
-0.0661324815469104,3100,0.7435528976366967,4900,,0,far,4900,target_distance,,,,,,,,4900,0.3399772050374557,4900,,0,,,,,,,0.6267741935483871,3100,person
0.1507894322993107,7195,0.8994268199535758,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.13874029097367227,10337,,0,,,,,,,0.27018763029881865,7195,person
0.19063391019064785,4445,0.9372371205460915,5418,,0,near,5418,target_distance,,,,,,,,5418,0.08681690936305073,5418,,0,,,,,,,0.15748031496062992,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
