association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.21345021357876712,14740,0.9410902478898638,20655,,0,all,31978,overall,,,,,,,0.8833921681574397,31978,0.09943641572772059,20655,,0,,,,,,,0.19308005427408412,14740,person
,0,0.9558578221698059,1243,,0,1,2482,crowd,,,,,,,0.8886147346461887,2482,0.09438985111734051,1243,,0,,,,,,,,0,person
0.25381726025989515,4608,0.9583068472862281,7094,,0,2,10926,crowd,,,,,,,0.9294078481022708,10926,0.07498014219668321,7094,,0,,,,,,,0.08289930555555555,4608,person
0.20260852862578185,3265,0.9354629015522875,4900,,0,3,9045,crowd,,,,,,,0.7788981611585991,9045,0.09848985866374987,4900,,0,,,,,,,0.20796324655436446,3265,person
0.22889266058745136,4509,0.9415253243591507,5003,,0,4,6512,crowd,,,,,,,0.9120207035881319,6512,0.10272630420763296,5003,,0,,,,,,,0.20292747837658018,4509,person
0.12004765068763135,2358,0.8934325495588109,2415,,0,5+,3013,crowd,,,,,,,0.9644348612511976,3013,0.16897865249307734,2415,,0,,,,,,,0.36895674300254455,2358,person
0.24893523764193584,8483,0.9546921970652058,13109,,0,large,22816,head_size,,,,,,,0.8767284705662364,22816,0.0775011694704597,13109,,0,,,,,,,0.12401273134504302,8483,person
0.15714567517671765,5029,0.919463753386899,6078,,0,medium,7592,head_size,,,,,,,0.8951774621686452,7592,0.132050153895641,6078,,0,,,,,,,0.2923046331278584,5029,person
0.19890303482961924,1228,0.9091678240815946,1468,,0,small,1570,head_size,,,,,,,0.9536388071081059,1570,0.16028303875347863,1468,,0,,,,,,,0.26384364820846906,1228,person
0.23056464388981332,3100,0.9302093313902942,4900,,0,far,4900,target_distance,,,,,,,,4900,0.1270768741832995,4900,,0,,,,,,,0.2632258064516129,3100,person
0.21372080690021958,7195,0.9486661364208719,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.08820861545783124,10337,,0,,,,,,,0.1812369701181376,7195,person
0.2010763884016932,4445,0.936476835395006,5418,,0,near,5418,target_distance,,,,,,,,5418,0.09586010065897006,5418,,0,,,,,,,0.16332958380202475,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.21345021357876712,14740,0.9410902478898638,20655,,0,1,20655,inout,,,,,,,,20655,0.09943641572772059,20655,,0,,,,,,,0.19308005427408412,14740,person
0.036658626606911826,2202,0.9356396699764965,2202,,0,close,2480,target_separation,,,,,,,0.9613230407015134,2480,0.11103002348729242,2202,,0,,,,,,,0.3583106267029973,2202,person
0.37230267184745325,5544,0.943687540880117,5544,,0,far,6852,target_separation,,,,,,,0.9154040544805975,6852,0.09471014856403452,5544,,0,,,,,,,0.11345598845598845,5544,person
0.1431924277438271,6994,0.9397542587691058,6994,,0,medium,7725,target_separation,,,,,,,0.97287965715409,7725,0.1052475957084822,6994,,0,,,,,,,0.20417500714898484,6994,person
,0,0.9422646668480809,5915,,0,shared_only,10219,target_separation,,,,,,,0.7554592630703554,10219,0.09267900373844783,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
,,,,,,all,13127,overall,0.0494304893583523,5545,0.3330385818193748,5545,0.24580550243123653,5545,,,,,,,0.4921165809510157,6410,0.36291041956021,6410,0.2619902067198359,6410,,,frame
,,,,,,1,2482,crowd,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
,,,,,,2,5463,crowd,0.01953125,2304,0.14682177191149248,2304,0.14682177191149248,2304,,,,,,,0.2380286793802196,2664,0.2380286793802196,2664,0.27517506394201197,2664,,,frame
,,,,,,3,3015,crowd,0.1375562218890555,1334,0.40828385335523143,1334,0.34472645335146185,1334,,,,,,,0.5724409549472642,1677,0.4711942895677345,1677,0.2341397529104083,1677,,,frame
,,,,,,4,1628,crowd,0.022903148281663063,1387,0.44084153388633796,1387,0.25746693658662756,1387,,,,,,,0.7126843060250709,1530,0.4215160420384811,1530,0.26096667482673763,1530,,,frame
,,,,,,5+,539,crowd,0.026587301587301587,520,0.6775455881310102,520,0.399504651308895,520,,,,,,,0.8719265535476537,539,0.47687387678677917,539,0.2863812182132932,539,,,frame
,,,,,,large,9971,head_size,0.06672835698128728,3242,0.2356587905734101,3242,0.19230922002484777,3242,,,,,,,0.37561319028401036,3713,0.3023201238504094,3713,0.26130357475814237,3713,,,frame
,,,,,,medium,3135,head_size,0.025310574127401474,2282,0.47121005698957663,2282,0.3208296374064093,2282,,,,,,,0.6548668614619791,2676,0.4470662864070074,2676,0.2622065747110994,2676,,,frame
,,,,,,small,21,head_size,0.0,21,0.3519898618678119,21,0.3519898618678119,21,,,,,,,0.3519898618678119,21,0.3519898618678119,21,0.3558218128696979,21,,,frame
,,,,,,close,712,target_separation,0.09343008739076153,712,0.6619229353544431,712,0.4626685944164387,712,,,,,,,0.6770676913254575,712,0.4733558871309527,712,0.17273735521319886,712,,,frame
,,,,,,far,2184,target_separation,0.021810134310134312,2184,0.1912203529836026,2184,0.15250195938811012,2184,,,,,,,0.39310501537352377,2184,0.24046901654115854,2184,0.3809961235741658,2184,,,frame
,,,,,,medium,2649,target_separation,0.06037618268648846,2649,0.3615645735371393,2649,0.26444212625634944,2649,,,,,,,0.4053254449620111,2649,0.2849725583611526,2649,0.24111352930186933,2649,,,frame
,,,,,,shared_only,4846,target_separation,,0,,0,,0,,,,,,,0.8556608443839789,865,0.8198263104267328,865,0.09891671116268307,865,,,frame
,,,,,,undefined,2736,target_separation,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
