dataset,model_label,path,person_index,people_count,crowd_bin,head_size,head_size_bin,inout,target_x,target_y,target_distance,target_distance_bin,target_cluster,num_target_clusters,target_separation,target_separation_bin,pred_x,pred_y,auc,l2,avg_l2,min_l2,inout_score,target_confusion,association_margin
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011121.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6018578176175569,far,0,2,0.46189711574417563,far,0.78125,0.21875,0.9644591292223371,0.011255005983088389,,,0.932853102684021,0.0,0.4569112201701303
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011121.jpg,1,4,4,0.14926517541808793,medium,1,0.3151041666666667,0.18611111111111112,0.4983006748301472,medium,1,2,0.46189711574417563,far,0.5625,0.1875,0.9108967726863131,0.24739973193809267,,,0.9877352118492126,1.0,-0.031059676392074242
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011121.jpg,2,4,4,0.07875747074107224,small,1,0.7760416666666666,0.22685185185185186,0.2117493873643536,near,0,2,0.46189711574417563,far,0.78125,0.21875,0.9640274857509448,0.009631549176558613,,,0.832329511642456,0.0,0.4569112201701303
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011121.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46189711574417563,far,0.78125,0.21875,0.9528685378633648,0.010422452097085871,,,0.9650126695632935,0.0,0.4569112201701303
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011122.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019051633569443,far,0,2,0.46249900596541776,far,0.78125,0.21875,0.957968902387018,0.011255005983088389,,,0.9352068305015564,0.0,0.45770243533233196
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011122.jpg,1,4,4,0.14926517541808806,medium,1,0.3140625,0.18518518518518517,0.49945620915939953,medium,1,2,0.46249900596541776,far,0.5625,0.1875,0.8984065532675486,0.2484482839020565,,,0.9877758026123047,1.0,-0.03262021369467735
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011122.jpg,2,4,4,0.07875747074107217,small,1,0.7744791666666667,0.22685185185185186,0.2101517433190489,near,0,2,0.46249900596541776,far,0.78125,0.21875,0.9638791546611191,0.01055860726881782,,,0.8259605169296265,0.0,0.45770243533233196
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011122.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46249900596541776,far,0.78125,0.21875,0.9519414685519548,0.010422452097085871,,,0.9673464894294739,0.0,0.45770243533233196
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011123.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019525090967638,far,0,2,0.4607700867058865,far,0.78125,0.21875,0.9500027812079344,0.011255005983088389,,,0.9265865087509155,0.0,0.4562214340173535
vat,p05_fixed_mean_smoke,images/CBS This Morning/11118_11359/00011123.jpg,1,4,4,0.14926517541808798,medium,1,0.3151041666666667,0.18518518518518517,0.4982759294477189,medium,1,2,0.4607700867058865,far,0.5625,0.1875,0.8869516848557666,0.24740666263930994,,,0.9881231188774109,1.0,-0.032261173477381805
