dataset,model_label,path,person_index,people_count,crowd_bin,head_size,head_size_bin,inout,target_x,target_y,target_distance,target_distance_bin,target_cluster,num_target_clusters,target_separation,target_separation_bin,pred_x,pred_y,auc,l2,avg_l2,min_l2,inout_score,target_confusion,association_margin
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011121.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6018578176175569,far,0,2,0.46189711574417563,far,0.78125,0.21875,0.963560242817994,0.011255005983088389,,,0.9353601336479187,0.0,0.4569112201701303
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011121.jpg,1,4,4,0.14926517541808793,medium,1,0.3151041666666667,0.18611111111111112,0.4983006748301472,medium,1,2,0.46189711574417563,far,0.5625,0.1875,0.9119321236932957,0.24739973193809267,,,0.9890857338905334,1.0,-0.031059676392074242
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011121.jpg,2,4,4,0.07875747074107224,small,1,0.7760416666666666,0.22685185185185186,0.2117493873643536,near,0,2,0.46189711574417563,far,0.78125,0.21875,0.9632309477985813,0.009631549176558613,,,0.8349608778953552,0.0,0.4569112201701303
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011121.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46189711574417563,far,0.546875,0.171875,0.9508378852436523,0.2358865864655782,,,0.9654828310012817,1.0,-0.00268966461900097
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011122.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019051633569443,far,0,2,0.46249900596541776,far,0.78125,0.21875,0.9570588911509379,0.011255005983088389,,,0.9372934699058533,0.0,0.45770243533233196
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011122.jpg,1,4,4,0.14926517541808806,medium,1,0.3140625,0.18518518518518517,0.49945620915939953,medium,1,2,0.46249900596541776,far,0.5625,0.1875,0.899898764031194,0.2484482839020565,,,0.9891713261604309,1.0,-0.03262021369467735
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011122.jpg,2,4,4,0.07875747074107217,small,1,0.7744791666666667,0.22685185185185186,0.2101517433190489,near,0,2,0.46249900596541776,far,0.78125,0.21875,0.9637990558726133,0.01055860726881782,,,0.8297327160835266,0.0,0.45770243533233196
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011122.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46249900596541776,far,0.78125,0.21875,0.9497053773728339,0.010422452097085871,,,0.967700183391571,0.0,0.45770243533233196
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011123.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019525090967638,far,0,2,0.4607700867058865,far,0.78125,0.21875,0.9489140310086144,0.011255005983088389,,,0.9285064339637756,0.0,0.4562214340173535
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011123.jpg,1,4,4,0.14926517541808798,medium,1,0.3151041666666667,0.18518518518518517,0.4982759294477189,medium,1,2,0.4607700867058865,far,0.5625,0.1875,0.8885892600874412,0.24740666263930994,,,0.9893506169319153,1.0,-0.032261173477381805
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011123.jpg,2,4,4,0.07875747074107224,small,1,0.7739583333333333,0.22685185185185186,0.20958791354330897,near,0,2,0.4607700867058865,far,0.78125,0.21875,0.9602072185324864,0.010899926889990301,,,0.8218730092048645,0.0,0.4562214340173535
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011123.jpg,3,4,4,0.10724614730194797,medium,1,0.7744791666666667,0.22777777777777777,0.47775935998114893,medium,0,2,0.4607700867058865,far,0.546875,0.171875,0.9438967318952635,0.2343688913812996,,,0.968482494354248,1.0,-0.0015636280164618988
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011124.jpg,0,4,4,0.16214943191884737,large,1,0.7739583333333333,0.22685185185185186,0.6025680037536719,far,0,2,0.45967681186092146,far,0.78125,0.21875,0.9468017962894978,0.010899926889990301,,,0.9241557717323303,0.0,0.45506034337120854
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011124.jpg,1,4,4,0.14926517541808806,medium,1,0.315625,0.18611111111111112,0.4975451977539219,medium,1,2,0.45967681186092146,far,0.5625,0.203125,0.8766597321882172,0.2474605787597763,,,0.988679826259613,1.0,-0.03512295643575422
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011124.jpg,2,4,4,0.07875747074107224,small,1,0.7729166666666667,0.22777777777777777,0.2086244590294358,near,0,2,0.45967681186092146,far,0.78125,0.21875,0.9619886749212918,0.012285976397884792,,,0.8158661127090454,0.0,0.45506034337120854
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011124.jpg,3,4,4,0.10724614730194797,medium,1,0.7734375,0.22777777777777777,0.4767203085430437,medium,0,2,0.45967681186092146,far,0.546875,0.171875,0.945684863183111,0.23335742321495068,,,0.963528037071228,1.0,-0.0015958936039307259
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011125.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22777777777777777,0.6021326371899834,far,0,2,0.46126077411385324,far,0.78125,0.21875,0.9473943789933511,0.011938841143718187,,,0.9346746802330017,0.0,0.45655982142624596
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011125.jpg,1,4,4,0.14926517541808806,medium,1,0.31354166666666666,0.18611111111111112,0.4992922481442381,medium,1,2,0.46126077411385324,far,0.5625,0.203125,0.852855558893005,0.24953902330343958,,,0.9912543892860413,1.0,-0.03768309805405787
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011125.jpg,2,4,4,0.07875747074107232,small,1,0.7723958333333333,0.22777777777777777,0.20806101597152105,near,0,2,0.46126077411385324,far,0.78125,0.21875,0.9661686450325772,0.012645040093493189,,,0.8356889486312866,0.0,0.45655982142624596
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011125.jpg,3,4,4,0.10724614730194797,medium,1,0.7729166666666667,0.22777777777777777,0.47620078710912167,medium,0,2,0.46126077411385324,far,0.765625,0.203125,0.9464183604222985,0.02570851716723996,,,0.9719505906105042,0.0,0.426694856707117
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011126.jpg,0,4,4,0.16214943191884737,large,1,0.7723958333333333,0.22777777777777777,0.6012330543272928,far,0,2,0.4602233757161358,far,0.78125,0.21875,0.9464050106242142,0.012645040093493189,,,0.9273365139961243,0.0,0.45568118939205593
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011126.jpg,1,4,4,0.14926517541808806,medium,1,0.3140625,0.18611111111111112,0.4984423274911751,medium,1,2,0.4602233757161358,far,0.578125,0.203125,0.8413858573722407,0.2646100457680574,,,0.9919752478599548,1.0,-0.06878125284886422
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011126.jpg,2,4,4,0.07875747074107232,small,1,0.7723958333333333,0.22777777777777777,0.20801406354701962,near,0,2,0.4602233757161358,far,0.78125,0.21875,0.9712734594889253,0.012645040093493189,,,0.8407427072525024,0.0,0.45568118939205593
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011126.jpg,3,4,4,0.10724614730194797,medium,1,0.7723958333333333,0.22777777777777777,0.4757284973860491,medium,0,2,0.4602233757161358,far,0.765625,0.203125,0.9452309700482447,0.025565673004798263,,,0.9740160703659058,0.0,0.42631723641021096
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011127.jpg,0,4,4,0.1621494319188474,large,1,0.7723958333333333,0.22777777777777777,0.6014224401835885,far,0,2,0.45884020793709107,far,0.78125,0.21875,0.9536710090593215,0.012645040093493189,,,0.9236193299293518,0.0,0.45439654932666884
vat,p05_ggsf_identity,images/CBS This Morning/11118_11359/00011127.jpg,1,4,4,0.1492651754180883,medium,1,0.3151041666666667,0.18611111111111112,0.4970730278253027,medium,1,2,0.45884020793709107,far,0.5625,0.1875,0.8737398346850003,0.24739973193809267,,,0.9882899522781372,1.0,-0.034015290609040544
