association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.1657637981480655,14740,0.9041629891396377,20655,,0,all,31978,overall,,,,,,,0.8391235397868283,31978,0.1360389544225834,20655,,0,,,,,,,0.2611261872455902,14740,person
,0,0.9175397214215185,1243,,0,1,2482,crowd,,,,,,,0.8136753005995596,2482,0.11606434034852761,1243,,0,,,,,,,,0,person
0.2276619319616025,4608,0.9272148536401402,7094,,0,2,10926,crowd,,,,,,,0.8737076014862446,10926,0.1002455811361923,7094,,0,,,,,,,0.12174479166666667,4608,person
0.14450159614428693,3265,0.9027813591806811,4900,,0,3,9045,crowd,,,,,,,0.7116786650788913,9045,0.13401910723584945,4900,,0,,,,,,,0.27166921898928026,3265,person
0.1543900878133702,4509,0.9031360215019765,5003,,0,4,6512,crowd,,,,,,,0.8907882828075638,6512,0.15385753641431024,5003,,0,,,,,,,0.3100465735196274,4509,person
0.09599219035701348,2358,0.8344945423061643,2415,,0,5+,3013,crowd,,,,,,,0.9604976719315146,3013,0.2186466235315262,2415,,0,,,,,,,0.4253604749787956,2358,person
0.21139630818022184,8483,0.926828830027814,13109,,0,large,22816,head_size,,,,,,,0.8131294483777615,22816,0.10600251211866489,13109,,0,,,,,,,0.17482022869267946,8483,person
0.08937798006112241,5029,0.8670734994582158,6078,,0,medium,7592,head_size,,,,,,,0.8746380573261121,7592,0.1909538964002289,6078,,0,,,,,,,0.3994829986080732,5029,person
0.16335638492042237,1228,0.855323350229949,1468,,0,small,1570,head_size,,,,,,,0.9478915438808825,1570,0.17689365797976214,1468,,0,,,,,,,0.2907166123778502,1228,person
0.21618827093059464,3100,0.9231137692335576,4900,,0,far,4900,target_distance,,,,,,,,4900,0.13828233077964672,4900,,0,,,,,,,0.2696774193548387,3100,person
0.15607437046778452,7195,0.9073190401138786,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.13133886091762997,10337,,0,,,,,,,0.25948575399583046,7195,person
0.14628113595094086,4445,0.8810026123620557,5418,,0,near,5418,target_distance,,,,,,,,5418,0.1429773675660115,5418,,0,,,,,,,0.2578177727784027,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.1657637981480655,14740,0.9041629891396377,20655,,0,1,20655,inout,,,,,,,,20655,0.1360389544225834,20655,,0,,,,,,,0.2611261872455902,14740,person
0.013910575837445371,2202,0.8854334293979164,2202,,0,close,2480,target_separation,,,,,,,0.9329720356693392,2480,0.14396007202869934,2202,,0,,,,,,,0.42415985467756584,2202,person
0.29469882519803753,5544,0.908274176044376,5544,,0,far,6852,target_separation,,,,,,,0.9020768847787123,6852,0.1502402528778008,5544,,0,,,,,,,0.2012987012987013,5544,person
0.11136931795975269,6994,0.9031526684441019,6994,,0,medium,7725,target_separation,,,,,,,0.961737337687733,7725,0.1303345765857381,6994,,0,,,,,,,0.2572204746925936,6994,person
,0,0.9084768104914512,5915,,0,shared_only,10219,target_separation,,,,,,,0.7163804568788928,10219,0.1265245197626516,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
