dataset,model_label,path,person_index,people_count,crowd_bin,head_size,head_size_bin,inout,target_x,target_y,target_distance,target_distance_bin,target_cluster,num_target_clusters,target_separation,target_separation_bin,pred_x,pred_y,auc,l2,avg_l2,min_l2,inout_score,target_confusion,association_margin
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011121.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6018578176175569,far,0,2,0.46189711574417563,far,0.40625,0.390625,0.6501537080918318,0.40205510096329494,,,0.986559271812439,1.0,-0.17961104073814574
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011121.jpg,1,4,4,0.14926517541808793,medium,1,0.3151041666666667,0.18611111111111112,0.4983006748301472,medium,1,2,0.46189711574417563,far,0.46875,0.421875,0.7739070779887787,0.2814101160312237,,,0.938690721988678,0.0,0.0816452080731147
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011121.jpg,2,4,4,0.07875747074107224,small,1,0.7760416666666666,0.22685185185185186,0.2117493873643536,near,0,2,0.46189711574417563,far,0.53125,0.359375,0.6319297503958586,0.2783618954967444,,,0.9344338774681091,1.0,-0.0004328585335619528
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011121.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46189711574417563,far,0.46875,0.484375,0.6703608524587732,0.40033773598667693,,,0.9826298952102661,1.0,-0.06455627848378209
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011122.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019051633569443,far,0,2,0.46249900596541776,far,0.40625,0.390625,0.6545472749724661,0.40205510096329494,,,0.9877592921257019,1.0,-0.17786440815498133
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011122.jpg,1,4,4,0.14926517541808806,medium,1,0.3140625,0.18518518518518517,0.49945620915939953,medium,1,2,0.46249900596541776,far,0.53125,0.4375,0.7742185732774125,0.33291616952512876,,,0.9381295442581177,1.0,-0.01122125180498168
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011122.jpg,2,4,4,0.07875747074107217,small,1,0.7744791666666667,0.22685185185185186,0.2101517433190489,near,0,2,0.46249900596541776,far,0.53125,0.359375,0.625778460100791,0.276988830663724,,,0.9340014457702637,0.0,0.001416830170023864
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011122.jpg,3,4,4,0.10724614730194797,medium,1,0.7760416666666666,0.22777777777777777,0.47931795842462127,medium,0,2,0.46249900596541776,far,0.46875,0.484375,0.6682827338903166,0.40033773598667693,,,0.9828433394432068,1.0,-0.06285696810218655
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011123.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22685185185185186,0.6019525090967638,far,0,2,0.4607700867058865,far,0.40625,0.390625,0.6498585292230787,0.40205510096329494,,,0.9888700246810913,1.0,-0.1776541945928725
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011123.jpg,1,4,4,0.14926517541808798,medium,1,0.3151041666666667,0.18518518518518517,0.4982759294477189,medium,1,2,0.4607700867058865,far,0.53125,0.4375,0.7721582544397348,0.3322375461057877,,,0.9369474053382874,1.0,-0.011067742222423849
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011123.jpg,2,4,4,0.07875747074107224,small,1,0.7739583333333333,0.22685185185185186,0.20958791354330897,near,0,2,0.4607700867058865,far,0.53125,0.359375,0.6240452113161788,0.27653158927063004,,,0.9336338639259338,0.0,0.0012150238763067311
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011123.jpg,3,4,4,0.10724614730194797,medium,1,0.7744791666666667,0.22777777777777777,0.47775935998114893,medium,0,2,0.4607700867058865,far,0.46875,0.484375,0.6497561807710992,0.39913964699445104,,,0.9825814366340637,1.0,-0.06280283012695603
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011124.jpg,0,4,4,0.16214943191884737,large,1,0.7739583333333333,0.22685185185185186,0.6025680037536719,far,0,2,0.45967681186092146,far,0.40625,0.390625,0.6430975981488279,0.402530821748016,,,0.9873355031013489,1.0,-0.17811046383181822
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011124.jpg,1,4,4,0.14926517541808806,medium,1,0.315625,0.18611111111111112,0.4975451977539219,medium,1,2,0.45967681186092146,far,0.53125,0.4375,0.7704131391679369,0.3311955828234883,,,0.9262241125106812,1.0,-0.010621489871778245
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011124.jpg,2,4,4,0.07875747074107224,small,1,0.7729166666666667,0.22777777777777777,0.2086244590294358,near,0,2,0.45967681186092146,far,0.53125,0.359375,0.6152098699507169,0.27517377541179816,,,0.9275131821632385,0.0,0.0008337814105103813
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011124.jpg,3,4,4,0.10724614730194797,medium,1,0.7734375,0.22777777777777777,0.4767203085430437,medium,0,2,0.45967681186092146,far,0.46875,0.484375,0.6494046360882124,0.39834232402345915,,,0.980073869228363,1.0,-0.0632672722460641
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011125.jpg,0,4,4,0.16214943191884737,large,1,0.7734375,0.22777777777777777,0.6021326371899834,far,0,2,0.46126077411385324,far,0.46875,0.484375,0.6525470302261678,0.39834232402345915,,,0.9886946082115173,1.0,-0.06171354876791624
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011125.jpg,1,4,4,0.14926517541808806,medium,1,0.31354166666666666,0.18611111111111112,0.4992922481442381,medium,1,2,0.46126077411385324,far,0.53125,0.359375,0.7628430619986873,0.27823963340199936,,,0.9344008564949036,1.0,-0.003065857990201204
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011125.jpg,2,4,4,0.07875747074107232,small,1,0.7723958333333333,0.22777777777777777,0.20806101597152105,near,0,2,0.46126077411385324,far,0.53125,0.359375,0.6095124727905158,0.27471647535346816,,,0.9377754926681519,0.0,0.003065857990201204
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011125.jpg,3,4,4,0.10724614730194797,medium,1,0.7729166666666667,0.22777777777777777,0.47620078710912167,medium,0,2,0.46126077411385324,far,0.46875,0.484375,0.6667823649167307,0.39794408597599695,,,0.9833921194076538,1.0,-0.06171354876791624
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011126.jpg,0,4,4,0.16214943191884737,large,1,0.7723958333333333,0.22777777777777777,0.6012330543272928,far,0,2,0.4602233757161358,far,0.40625,0.390625,0.6575153800798763,0.40072682597107834,,,0.9890897870063782,1.0,-0.1763956736433047
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011126.jpg,1,4,4,0.14926517541808806,medium,1,0.3140625,0.18611111111111112,0.4984423274911751,medium,1,2,0.4602233757161358,far,0.53125,0.453125,0.7664860735648041,0.3441901030184016,,,0.9416487216949463,1.0,-0.014140586282958723
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011126.jpg,2,4,4,0.07875747074107232,small,1,0.7723958333333333,0.22777777777777777,0.20801406354701962,near,0,2,0.4602233757161358,far,0.53125,0.359375,0.6085727953364707,0.27471647535346816,,,0.9436265826225281,0.0,0.0031158218136380644
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011126.jpg,3,4,4,0.10724614730194797,medium,1,0.7723958333333333,0.22777777777777777,0.4757284973860491,medium,0,2,0.4602233757161358,far,0.46875,0.484375,0.6763897696047348,0.39754613135189093,,,0.9850150942802429,1.0,-0.061555699834305255
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011127.jpg,0,4,4,0.1621494319188474,large,1,0.7723958333333333,0.22777777777777777,0.6014224401835885,far,0,2,0.45884020793709107,far,0.40625,0.390625,0.6887516826308002,0.40072682597107834,,,0.9902468919754028,1.0,-0.17650449266382748
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011127.jpg,1,4,4,0.1492651754180883,medium,1,0.3151041666666667,0.18611111111111112,0.4970730278253027,medium,1,2,0.45884020793709107,far,0.53125,0.453125,0.7681429318381559,0.34353375107393597,,,0.9459435939788818,1.0,-0.013737841947834672
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011127.jpg,2,4,4,0.07875747074107248,small,1,0.771875,0.22777777777777777,0.20749759875727586,near,0,2,0.45884020793709107,far,0.53125,0.359375,0.6214264259253078,0.2742594018837001,,,0.9448851346969604,0.0,0.002607031077571542
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011127.jpg,3,4,4,0.10724614730194793,medium,1,0.771875,0.22777777777777777,0.47525621004131313,medium,0,2,0.45884020793709107,far,0.46875,0.484375,0.6960703386027953,0.39714846100313733,,,0.9857865571975708,1.0,-0.06176885594052656
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011128.jpg,0,4,4,0.16214943191884737,large,1,0.771875,0.22685185185185186,0.6011002858461777,far,0,2,0.4597327186751107,far,0.40625,0.390625,0.6819143610452892,0.40062861190803045,,,0.9900074005126953,1.0,-0.17279011739124522
vat,p05_shallow_deep,images/CBS This Morning/11118_11359/00011128.jpg,1,4,4,0.1492651754180882,medium,1,0.31354166666666666,0.18333333333333332,0.49856203143128586,medium,1,2,0.4597327186751107,far,0.53125,0.453125,0.7548865823404421,0.346676306957305,,,0.9456335306167603,1.0,-0.01709076489101119
