association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
-0.034118687749527296,14740,0.7426571253519945,20655,,0,all,31978,overall,,,,,,,0.7690869513006768,31978,0.2817310778507646,20655,,0,,,,,,,0.580189959294437,14740,person
,0,0.7211715919048359,1243,,0,1,2482,crowd,,,,,,,0.6369435200184994,2482,0.3021313348182175,1243,,0,,,,,,,,0,person
0.015748255035658694,4608,0.7976511189878744,7094,,0,2,10926,crowd,,,,,,,0.7668618554009278,10926,0.24608968669126674,7094,,0,,,,,,,0.4856770833333333,4608,person
-0.05075817190988593,3265,0.7010020040540428,4900,,0,3,9045,crowd,,,,,,,0.706425233375568,9045,0.3079426972416859,4900,,0,,,,,,,0.5880551301684533,3265,person
-0.07954509669657542,4509,0.7114999010803779,5003,,0,4,6512,crowd,,,,,,,0.8131962831971044,6512,0.3026065366412468,5003,,0,,,,,,,0.6631182080283877,4509,person
-0.021663759262812346,2358,0.7412363446533387,2415,,0,5+,3013,crowd,,,,,,,0.8991665891791194,3013,0.27949739426096637,2415,,0,,,,,,,0.5954198473282443,2358,person
-0.03626714157059912,8483,0.7537891417647139,13109,,0,large,22816,head_size,,,,,,,0.7077776894143184,22816,0.2692672069164334,13109,,0,,,,,,,0.5672521513615466,8483,person
-0.05329151138348376,5029,0.7115565793444757,6078,,0,medium,7592,head_size,,,,,,,0.8387997791039097,7592,0.3123009642021457,6078,,0,,,,,,,0.6335255517995625,5029,person
0.05924081047467412,1228,0.7720164683215844,1468,,0,small,1570,head_size,,,,,,,0.9791061423131289,1570,0.2664620825063864,1468,,0,,,,,,,0.4511400651465798,1228,person
-0.20362622974940414,3100,0.5538742465029391,4900,,0,far,4900,target_distance,,,,,,,,4900,0.45238683575623095,4900,,0,,,,,,,0.834516129032258,3100,person
-0.003934944578425862,7195,0.7898472337197789,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.24680198237858103,10337,,0,,,,,,,0.5735927727588603,7195,person
0.035240445677591575,4445,0.8233570065189533,5418,,0,near,5418,target_distance,,,,,,,,5418,0.1940324521880065,5418,,0,,,,,,,0.41349831271091114,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
-0.034118687749527296,14740,0.7426571253519945,20655,,0,1,20655,inout,,,,,,,,20655,0.2817310778507646,20655,,0,,,,,,,0.580189959294437,14740,person
-0.06206247606407723,2202,0.7635489951811285,2202,,0,close,2480,target_separation,,,,,,,0.8977252730223473,2480,0.26151066995614003,2202,,0,,,,,,,0.6453224341507721,2202,person
-0.02599551950672567,5544,0.6973851668693617,5544,,0,far,6852,target_separation,,,,,,,0.8679923174936481,6852,0.3238987800072384,5544,,0,,,,,,,0.5696248196248196,5544,person
-0.03175989776803648,6994,0.7923237463330179,6994,,0,medium,7725,target_separation,,,,,,,0.9432762345311443,7725,0.2363886564313666,6994,,0,,,,,,,0.5680583357163282,6994,person
,0,0.7185853575282727,5915,,0,shared_only,10219,target_separation,,,,,,,0.6669003667473626,10219,0.30334941983482916,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
,,,,,,all,13127,overall,0.042127613894971876,5545,0.8092574786695753,5545,0.7458759903226552,5545,,,,,,,0.805486247629478,6410,0.7350043152547747,6410,0.14839473509984402,6410,,,frame
,,,,,,1,2482,crowd,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
,,,,,,2,5463,crowd,0.055989583333333336,2304,0.8104395328628597,2304,0.8104395328628597,2304,,,,,,,0.8048309553014412,2664,0.8048309553014412,2664,0.12842604568589577,2664,,,frame
,,,,,,3,3015,crowd,0.017116441779110446,1334,0.7485353053329055,1334,0.6791305114405152,1334,,,,,,,0.7085785505213924,1677,0.6323558121746001,1677,0.17385805242678012,1677,,,frame
,,,,,,4,1628,crowd,0.05741408315308819,1387,0.8624168917351537,1387,0.7773017687895333,1387,,,,,,,0.8876336406714938,1530,0.7841878433777311,1530,0.13034993808562806,1530,,,frame
,,,,,,5+,539,crowd,0.004097985347985348,520,0.8180032872231019,520,0.5472154366353166,520,,,,,,,0.877052844026261,539,0.5696473070043278,539,0.21908702614481007,539,,,frame
,,,,,,large,9971,head_size,0.06599835492494344,3242,0.8178376341846366,3242,0.7900046964380483,3242,,,,,,,0.802532700895762,3713,0.7762662847372949,3713,0.1245812014264989,3713,,,frame
,,,,,,medium,3135,head_size,0.00860252076290639,2282,0.7967965540172458,2282,0.6823285572121484,2282,,,,,,,0.8093234514013983,2676,0.6769385547924817,2676,0.18207858614081218,2676,,,frame
,,,,,,small,21,head_size,0.0,21,0.8387320442308767,21,0.8387320442308767,21,,,,,,,0.8387320442308767,21,0.8387320442308767,21,0.06656926574268553,21,,,frame
,,,,,,close,712,target_separation,0.06903870162297128,712,0.8344184992094058,712,0.7355642469144932,712,,,,,,,0.8395101624060753,712,0.732743058168822,712,0.1395898311656792,712,,,frame
,,,,,,far,2184,target_separation,0.03624847374847375,2184,0.7876463764443332,2184,0.7485193481829417,2184,,,,,,,0.8105756125288236,2184,0.7576699583411821,2184,0.14927761157378694,2184,,,frame
,,,,,,medium,2649,target_separation,0.039741561655491434,2649,0.8203122165463477,2649,0.7464682393750319,2649,,,,,,,0.8265489768071008,2649,0.7432957135159113,2649,0.13888445091494742,2649,,,frame
,,,,,,shared_only,4846,target_separation,,0,,0,,0,,,,,,,0.7001274385512929,865,0.6542463228278769,865,0.18253766248461298,865,,,frame
,,,,,,undefined,2736,target_separation,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
