association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.21383857956151123,14740,0.9402001318859232,20655,,0,all,31978,overall,,,,,,,0.8867943648327741,31978,0.09901776996661726,20655,,0,,,,,,,0.19592944369063772,14740,person
,0,0.9545891374023704,1243,,0,1,2482,crowd,,,,,,,0.8912844438699539,2482,0.09183245647241614,1243,,0,,,,,,,,0,person
0.2545152628927251,4608,0.95825544532149,7094,,0,2,10926,crowd,,,,,,,0.9295854597809553,10926,0.07394459441187622,7094,,0,,,,,,,0.083984375,4608,person
0.19858105089423597,3265,0.9340744267684479,4900,,0,3,9045,crowd,,,,,,,0.7773495413705784,9045,0.09917311795868734,4900,,0,,,,,,,0.21776416539050536,3265,person
0.2318188086240172,4509,0.9413787519799868,5003,,0,4,6512,crowd,,,,,,,0.9161934914767624,6512,0.10134562207591596,5003,,0,,,,,,,0.20048791306276337,4509,person
0.12109253268516737,2358,0.8897443933253318,2415,,0,5+,3013,crowd,,,,,,,0.9669895423855073,3013,0.17123019348407492,2415,,0,,,,,,,0.3757421543681086,2358,person
0.25094798365118565,8483,0.954605875190751,13109,,0,large,22816,head_size,,,,,,,0.8804117628692485,22816,0.07652712778147218,13109,,0,,,,,,,0.12271602027584581,8483,person
0.15492608088796825,5029,0.9173253799096853,6078,,0,medium,7592,head_size,,,,,,,0.8950033560986709,7592,0.13266927491979064,6078,,0,,,,,,,0.30125273414197656,5029,person
0.1987505347215597,1228,0.9062681520007615,1468,,0,small,1570,head_size,,,,,,,0.9547352250926506,1570,0.16052729401272026,1468,,0,,,,,,,0.2703583061889251,1228,person
0.23710642645938393,3100,0.9329088782666385,4900,,0,far,4900,target_distance,,,,,,,,4900,0.12109724806376321,4900,,0,,,,,,,0.25709677419354837,3100,person
0.21446018097897607,7195,0.9482250728624868,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.08888207899106988,10337,,0,,,,,,,0.1810979847116053,7195,person
0.19660511553854956,4445,0.9314835072753207,5418,,0,near,5418,target_distance,,,,,,,,5418,0.09838713042033048,5418,,0,,,,,,,0.17727784026996626,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.21383857956151123,14740,0.9402001318859232,20655,,0,1,20655,inout,,,,,,,,20655,0.09901776996661726,20655,,0,,,,,,,0.19592944369063772,14740,person
0.034473695809149225,2202,0.9346836037371723,2202,,0,close,2480,target_separation,,,,,,,0.9624097561805361,2480,0.11506381573052465,2202,,0,,,,,,,0.37193460490463215,2202,person
0.3762447257925723,5544,0.9434589301239493,5544,,0,far,6852,target_separation,,,,,,,0.9187091127771342,6852,0.09350907207712314,5544,,0,,,,,,,0.11075036075036075,5544,person
0.141574038428783,6994,0.9384794083046027,6994,,0,medium,7725,target_separation,,,,,,,0.9726958422635923,7725,0.10621713368847116,6994,,0,,,,,,,0.208035458964827,6994,person
,0,0.9412340047988031,5915,,0,shared_only,10219,target_separation,,,,,,,0.7591162808585692,10219,0.0896947739322276,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
