component,crowd_bin,mean,metric,n,std,variance_across_observations
sasa,1,0.6530967816876466,entropy,207,0.05711224338900524,0.0032618083449249724
sasa,2-3,0.6484195845913668,entropy,1519,0.06625361829056017,0.00438954193659125
sasa,4+,0.6806800515902601,entropy,618,0.06205830901749127,0.003851233718110438
sasa,overall,0.6573381632621202,entropy,2344,0.06589198360251025,0.00434175350307348
sasa,2-3,0.014186589248573123,inter_person_l1,649,0.009491050797565695,9.00800452419724e-05
sasa,4+,0.013552637269539345,inter_person_l1,144,0.004691478033553839,2.20099661393182e-05
sasa,overall,0.014071470604208856,inter_person_l1,793,0.008816783975210605,7.773567966553052e-05
sasa,1,0.6479889548919051,max_weight,207,0.05513440275862014,0.0030398023675497396
sasa,2-3,0.6605842778995055,max_weight,1519,0.05929816206155552,0.003516272023878502
sasa,4+,0.638125918588592,max_weight,618,0.06024427857545236,0.0036293731010767077
sasa,overall,0.6535507890271856,max_weight,2344,0.05998936559324103,0.0035987239842795306
sasa,1,0.2050100368602822,uniform_l1,207,0.021373557149956604,0.000456828945242461
sasa,2-3,0.20843095568732503,uniform_l1,1519,0.02567493743627608,0.0006592024123566909
sasa,4+,0.19823897964642068,uniform_l1,618,0.025045622225332628,0.0006272831926540757
sasa,overall,0.20544171874599537,uniform_l1,2344,0.025533011201170165,0.0006519346609990812
sasa,1,0.01613353421812616,weight_layer_0,207,0.0041602704530770305,1.7307850242745762e-05
sasa,2-3,0.01848755170664136,weight_layer_0,1519,0.004705488827589689,2.214162510657139e-05
sasa,4+,0.023357970099052276,weight_layer_0,618,0.005231425175238856,2.7367809364122896e-05
sasa,overall,0.019563762008001133,weight_layer_0,2344,0.005353651283248651,2.8661582062629932e-05
sasa,1,0.0938306880781904,weight_layer_1,207,0.017370545370625646,0.00030173584647296407
sasa,2-3,0.09548885453985348,weight_layer_1,1519,0.020194393395353852,0.00040781352460631133
sasa,4+,0.10702869709593192,weight_layer_1,618,0.019962789700580044,0.0003985129726295847
sasa,overall,0.09838492204927848,weight_layer_1,2344,0.020558862314967355,0.0004226668196857849
sasa,1,0.2420468233201815,weight_layer_2,207,0.039573248979868005,0.0015660420348226243
sasa,2-3,0.22543931564094205,weight_layer_2,1519,0.03889073454312107,0.0015124892333035105
sasa,4+,0.23148741298219533,weight_layer_2,618,0.03936610409898339,0.0015496901519319968
sasa,overall,0.22850052649695618,weight_layer_2,2344,0.03937440328263859,0.0015503436338638603
sasa,1,0.6479889548919051,weight_layer_3,207,0.05513440275862014,0.0030398023675497396
sasa,2-3,0.6605842778995055,weight_layer_3,1519,0.05929816206155552,0.003516272023878502
sasa,4+,0.638125918588592,weight_layer_3,618,0.06024427857545236,0.0036293731010767077
sasa,overall,0.6535507890271856,weight_layer_3,2344,0.05998936559324103,0.0035987239842795306
