component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
sasa,4+,medium,all_in,entropy,4,0,8,0.7129827304029972
sasa,4+,medium,all_in,max_weight,4,0,8,0.6051140427589417
sasa,4+,medium,all_in,uniform_l1,4,0,8,0.18389597302302718
sasa,4+,medium,all_in,weight_layer_0,4,0,8,0.026163773611187935
sasa,4+,medium,all_in,weight_layer_1,4,0,8,0.10604425519704819
sasa,4+,medium,all_in,weight_layer_2,4,0,8,0.2626778781414032
sasa,4+,medium,all_in,weight_layer_3,4,0,8,0.6051140427589417
sasa,4+,medium,all_in,entropy,4,1,8,0.7442917580289027
sasa,4+,medium,all_in,max_weight,4,1,8,0.5664946436882019
sasa,4+,medium,all_in,uniform_l1,4,1,8,0.17696005245670676
sasa,4+,medium,all_in,weight_layer_0,4,1,8,0.027404630556702614
sasa,4+,medium,all_in,weight_layer_1,4,1,8,0.11867526173591614
sasa,4+,medium,all_in,weight_layer_2,4,1,8,0.2874254584312439
sasa,4+,medium,all_in,weight_layer_3,4,1,8,0.5664946436882019
sasa,4+,medium,all_in,entropy,4,2,8,0.8081652364076939
sasa,4+,medium,all_in,max_weight,4,2,8,0.4989640712738037
sasa,4+,medium,all_in,uniform_l1,4,2,8,0.1537930266931653
sasa,4+,medium,all_in,weight_layer_0,4,2,8,0.03653250262141228
sasa,4+,medium,all_in,weight_layer_1,4,2,8,0.15588140487670898
sasa,4+,medium,all_in,weight_layer_2,4,2,8,0.30862194299697876
sasa,4+,medium,all_in,weight_layer_3,4,2,8,0.4989640712738037
sasa,4+,medium,all_in,entropy,4,3,8,0.7582582284522215
sasa,4+,medium,all_in,max_weight,4,3,8,0.5632374882698059
sasa,4+,medium,all_in,uniform_l1,4,3,8,0.16920979134738445
sasa,4+,medium,all_in,weight_layer_0,4,3,8,0.03048142045736313
sasa,4+,medium,all_in,weight_layer_1,4,3,8,0.13109897077083588
sasa,4+,medium,all_in,weight_layer_2,4,3,8,0.2751820683479309
sasa,4+,medium,all_in,weight_layer_3,4,3,8,0.5632374882698059
sasa,4+,medium,all_in,inter_person_l1,4,all,8,0.015804428607225418
sasa,4+,medium,all_in,entropy,4,0,9,0.7123586593734826
sasa,4+,medium,all_in,max_weight,4,0,9,0.6058710217475891
sasa,4+,medium,all_in,uniform_l1,4,0,9,0.18394124694168568
sasa,4+,medium,all_in,weight_layer_0,4,0,9,0.026056721806526184
sasa,4+,medium,all_in,weight_layer_1,4,0,9,0.10606078058481216
sasa,4+,medium,all_in,weight_layer_2,4,0,9,0.26201146841049194
sasa,4+,medium,all_in,weight_layer_3,4,0,9,0.6058710217475891
sasa,4+,medium,all_in,entropy,4,1,9,0.7452352021827829
sasa,4+,medium,all_in,max_weight,4,1,9,0.5658765435218811
sasa,4+,medium,all_in,uniform_l1,4,1,9,0.1764780874364078
