bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
all,0.0012924145554858656,-0.00036611001553489027,119,overall,0.00048147787476785127,auc,20655,candidate_better
all,0.0023501417837298354,-0.0014417840767393722,119,overall,0.0005518991747782332,l2,20655,candidate_better
all,,,0,overall,,avg_l2,0,candidate_better
all,,,0,overall,,min_l2,0,candidate_better
all,0.00365836584338407,-0.006756273858161813,80,overall,-0.0009497964721845319,target_confusion,14740,candidate_better
all,0.0021360829770257334,-0.003381241194923676,80,overall,-0.00031180090182538747,association_margin,14740,candidate_better
1,0.0004382763815681927,-0.0027729922850568095,25,crowd,-0.0009892188975776759,auc,1243,candidate_better
1,-0.0011238738619358602,-0.007576741660371397,25,crowd,-0.004261808548903252,l2,1243,candidate_better
1,,,0,crowd,,avg_l2,0,candidate_better
1,,,0,crowd,,min_l2,0,candidate_better
1,,,0,crowd,,target_confusion,0,candidate_better
1,,,0,crowd,,association_margin,0,candidate_better
2,0.001570512254956034,-0.0012007898793953975,62,crowd,0.00025925679143060364,auc,7094,candidate_better
2,0.001407161188374889,-0.0026769706123845006,62,crowd,-0.0005250607435691461,l2,7094,candidate_better
2,,,0,crowd,,avg_l2,0,candidate_better
2,,,0,crowd,,min_l2,0,candidate_better
2,0.004225565084052702,-0.002607517340235055,46,crowd,0.0006510416666666666,target_confusion,4608,candidate_better
2,0.004197315300510364,-0.0004196792661406675,46,crowd,0.0016187382200253178,association_margin,4608,candidate_better
3,0.0029257505764193233,-0.0003680995667651351,23,crowd,0.0009762952242040793,auc,4900,candidate_better
3,0.006868251103054002,0.0005399352217668378,23,crowd,0.003098730643218884,l2,4900,candidate_better
3,,,0,crowd,,avg_l2,0,candidate_better
3,,,0,crowd,,min_l2,0,candidate_better
3,0.0052114304534456755,-0.019136316601941213,21,crowd,-0.005206738131699847,target_confusion,3265,candidate_better
3,0.0035535005472327264,-0.013004289594049638,21,crowd,-0.0031097949618238176,association_margin,3265,candidate_better
4,0.001437560822829295,-0.0012659216805769417,11,crowd,0.000350940660106563,auc,5003,candidate_better
4,0.005537955896130304,-0.007729876838485628,11,crowd,-0.0001552952936856522,l2,5003,candidate_better
4,,,0,crowd,,avg_l2,0,candidate_better
4,,,0,crowd,,min_l2,0,candidate_better
4,0.011418868613337024,-0.01600310062384366,11,crowd,-0.0008871146595697493,target_confusion,4509,candidate_better
4,0.004649868899198251,-0.0062897579726350315,11,crowd,5.839730781937169e-05,association_margin,4509,candidate_better
5+,0.004193351281909086,-0.003853789350455689,5,crowd,0.0011576621919243033,auc,2415,candidate_better
5+,0.006730906044396762,-0.0023139472438739594,5,crowd,0.0024906205377836265,l2,2415,candidate_better
5+,,,0,crowd,,avg_l2,0,candidate_better
5+,,,0,crowd,,min_l2,0,candidate_better
5+,0.00997506234413965,-0.007807807807807808,5,crowd,0.0016963528413910093,target_confusion,2358,candidate_better
5+,0.0048846345917949625,-0.0055081011190877376,5,crowd,-0.0009181187113594797,association_margin,2358,candidate_better
large,0.0008247561361205237,-0.0007640995164765192,107,head_size,2.7800047775878484e-06,auc,13109,candidate_better
large,0.0013518233229884952,-0.0021075040395397123,107,head_size,-0.00019542115209322344,l2,13109,candidate_better
large,,,0,head_size,,avg_l2,0,candidate_better
large,,,0,head_size,,min_l2,0,candidate_better
large,0.007180925779128125,-0.0007907028357788891,72,head_size,0.0031828362607568077,target_confusion,8483,candidate_better
large,0.004235414828028334,-0.0018223575383962774,72,head_size,0.0014800521257859335,association_margin,8483,candidate_better
medium,0.002657449692622416,-0.000696564543273997,41,head_size,0.0009735769715547889,auc,6078,candidate_better
medium,0.008015643022173594,0.0004066665507104608,41,head_size,0.004018297941232141,l2,6078,candidate_better
medium,,,0,head_size,,avg_l2,0,candidate_better
medium,,,0,head_size,,min_l2,0,candidate_better
medium,0.0074061851483357725,-0.013265313322619479,37,head_size,-0.0021873135812288725,target_confusion,5029,candidate_better
medium,0.005539434492928818,-0.008049822234975247,37,head_size,-0.0006469339532269391,association_margin,5029,candidate_better
small,0.005834928308196366,-0.003145051274651296,13,head_size,0.0027187204275140064,auc,1468,candidate_better
