component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,large,mixed,mean,4,0,38,0.9668099284172058
ggsf,4+,large,mixed,variance,4,0,38,0.00017712940461933613
ggsf,4+,large,mixed,std,4,0,38,0.013308997265994549
ggsf,4+,large,mixed,min,4,0,38,0.9370877146720886
ggsf,4+,large,mixed,max,4,0,38,0.9911438226699829
ggsf,4+,large,mixed,spatial_entropy,4,0,38,0.9999863349063065
ggsf,4+,large,mixed,identity_l1,4,0,38,0.0331900529563427
ggsf,4+,large,mixed,dynamic_range,4,0,38,0.05405610799789429
ggsf,4+,large,mixed,mean,4,1,38,0.9611846208572388
ggsf,4+,large,mixed,variance,4,1,38,0.00025612005265429616
ggsf,4+,large,mixed,std,4,1,38,0.016003752127289772
ggsf,4+,large,mixed,min,4,1,38,0.9355722069740295
ggsf,4+,large,mixed,max,4,1,38,0.9910456538200378
ggsf,4+,large,mixed,spatial_entropy,4,1,38,0.9999800357646604
ggsf,4+,large,mixed,identity_l1,4,1,38,0.03881535679101944
ggsf,4+,large,mixed,dynamic_range,4,1,38,0.0554734468460083
ggsf,4+,large,mixed,mean,4,2,38,0.9479141235351562
ggsf,4+,large,mixed,variance,4,2,38,0.00021062132145743817
ggsf,4+,large,mixed,std,4,2,38,0.014512798748910427
ggsf,4+,large,mixed,min,4,2,38,0.9266109466552734
ggsf,4+,large,mixed,max,4,2,38,0.9824647307395935
ggsf,4+,large,mixed,spatial_entropy,4,2,38,0.9999831416732271
ggsf,4+,large,mixed,identity_l1,4,2,38,0.052085842937231064
ggsf,4+,large,mixed,dynamic_range,4,2,38,0.05585378408432007
ggsf,4+,large,mixed,mean,4,3,38,0.9447279572486877
ggsf,4+,large,mixed,variance,4,3,38,0.00020474623306654394
ggsf,4+,large,mixed,std,4,3,38,0.014308956451714039
ggsf,4+,large,mixed,min,4,3,38,0.9232745170593262
ggsf,4+,large,mixed,max,4,3,38,0.984745979309082
ggsf,4+,large,mixed,spatial_entropy,4,3,38,0.9999835396117431
ggsf,4+,large,mixed,identity_l1,4,3,38,0.05527201667428017
ggsf,4+,large,mixed,dynamic_range,4,3,38,0.06147146224975586
ggsf,4+,large,mixed,inter_person_l1,4,all,38,0.013547145761549473
sasa,4+,large,mixed,entropy,4,0,38,0.5962912898709386
sasa,4+,large,mixed,max_weight,4,0,38,0.7000643014907837
sasa,4+,large,mixed,uniform_l1,4,0,38,0.22503216797485948
sasa,4+,large,mixed,weight_layer_0,4,0,38,0.01164754293859005
sasa,4+,large,mixed,weight_layer_1,4,0,38,0.07627473771572113
sasa,4+,large,mixed,weight_layer_2,4,0,38,0.2120133489370346
sasa,4+,large,mixed,weight_layer_3,4,0,38,0.7000643014907837
sasa,4+,large,mixed,entropy,4,1,38,0.5993055106570773
sasa,4+,large,mixed,max_weight,4,1,38,0.6980223655700684
sasa,4+,large,mixed,uniform_l1,4,1,38,0.2240111806895584
sasa,4+,large,mixed,weight_layer_0,4,1,38,0.011941366828978062
sasa,4+,large,mixed,weight_layer_1,4,1,38,0.07715544104576111
sasa,4+,large,mixed,weight_layer_2,4,1,38,0.21288083493709564
sasa,4+,large,mixed,weight_layer_3,4,1,38,0.6980223655700684
sasa,4+,large,mixed,entropy,4,2,38,0.605773655945679
sasa,4+,large,mixed,max_weight,4,2,38,0.6933614015579224
sasa,4+,large,mixed,uniform_l1,4,2,38,0.22168068122118711
sasa,4+,large,mixed,weight_layer_0,4,2,38,0.012501660734415054
sasa,4+,large,mixed,weight_layer_1,4,2,38,0.07900792360305786
sasa,4+,large,mixed,weight_layer_2,4,2,38,0.215129092335701
sasa,4+,large,mixed,weight_layer_3,4,2,38,0.6933614015579224
sasa,4+,large,mixed,entropy,4,3,38,0.6073256118590523
sasa,4+,large,mixed,max_weight,4,3,38,0.6922596096992493
sasa,4+,large,mixed,uniform_l1,4,3,38,0.22112979763187468
sasa,4+,large,mixed,weight_layer_0,4,3,38,0.012661649845540524
sasa,4+,large,mixed,weight_layer_1,4,3,38,0.07941767573356628
sasa,4+,large,mixed,weight_layer_2,4,3,38,0.21566109359264374
sasa,4+,large,mixed,weight_layer_3,4,3,38,0.6922596096992493
sasa,4+,large,mixed,inter_person_l1,4,all,38,0.001558217452839017
ggsf,4+,large,mixed,mean,4,0,43,0.9668196439743042
ggsf,4+,large,mixed,variance,4,0,43,0.00017708723316900432
ggsf,4+,large,mixed,std,4,0,43,0.013307413086295128
ggsf,4+,large,mixed,min,4,0,43,0.9370977878570557
ggsf,4+,large,mixed,max,4,0,43,0.9911477565765381
ggsf,4+,large,mixed,spatial_entropy,4,0,43,0.9999863384160447
ggsf,4+,large,mixed,identity_l1,4,0,43,0.033180367201566696
ggsf,4+,large,mixed,dynamic_range,4,0,43,0.05404996871948242
