association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.2139564965957882,14740,0.9414299946382972,20655,,0,all,31978,overall,,,,,,,0.8864655123366522,31978,0.09983394047750421,20655,,0,,,,,,,0.19409769335142468,14740,person
,0,0.9547225251958544,1243,,0,1,2482,crowd,,,,,,,0.8884507700658626,2482,0.0955968618015566,1243,,0,,,,,,,,0,person
0.25569174126655353,4608,0.9591345267974762,7094,,0,2,10926,crowd,,,,,,,0.9278786505094931,10926,0.07391428224186453,7094,,0,,,,,,,0.08268229166666667,4608,person
0.19813102595229512,3265,0.9354673781976023,4900,,0,3,9045,crowd,,,,,,,0.7788146576193292,9045,0.10077490002903963,4900,,0,,,,,,,0.21898928024502298,3265,person
0.2322814073938886,4509,0.9429210064352475,5003,,0,4,6512,crowd,,,,,,,0.9217874254576014,6512,0.10304353923753239,5003,,0,,,,,,,0.19693945442448438,4509,person
0.11926910534026808,2358,0.8915909560954417,2415,,0,5+,3013,crowd,,,,,,,0.9629848171649354,3013,0.16959477688284005,2415,,0,,,,,,,0.3719253604749788,2358,person
0.25249174137626235,8483,0.9551738750865885,13109,,0,large,22816,head_size,,,,,,,0.8787004953620143,22816,0.07663904177279371,13109,,0,,,,,,,0.11823647294589178,8483,person
0.1545915142300785,5029,0.9192180783805507,6078,,0,medium,7592,head_size,,,,,,,0.8997645423936509,7592,0.13405118918137984,6078,,0,,,,,,,0.29986080731755815,5029,person
0.1908718181303092,1228,0.9106639852499677,1468,,0,small,1570,head_size,,,,,,,0.9537325299792224,1570,0.16528999599378041,1468,,0,,,,,,,0.28501628664495116,1228,person
0.23571970318996266,3100,0.9321322619330935,4900,,0,far,4900,target_distance,,,,,,,,4900,0.12492599294798577,4900,,0,,,,,,,0.25806451612903225,3100,person
0.21543939482607127,7195,0.9485639654245844,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.08913049573112145,10337,,0,,,,,,,0.17845726198749132,7195,person
0.19637823040707564,4445,0.9362278968600851,5418,,0,near,5418,target_distance,,,,,,,,5418,0.09756196765321457,5418,,0,,,,,,,0.17480314960629922,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.2139564965957882,14740,0.9414299946382972,20655,,0,1,20655,inout,,,,,,,,20655,0.09983394047750421,20655,,0,,,,,,,0.19409769335142468,14740,person
0.03818861758884113,2202,0.9364649360622996,2202,,0,close,2480,target_separation,,,,,,,0.964129908232854,2480,0.1104751922458677,2202,,0,,,,,,,0.35240690281562215,2202,person
0.3765552428915151,5544,0.9447964833159829,5544,,0,far,6852,target_separation,,,,,,,0.9279833998509227,6852,0.09335022995291392,5544,,0,,,,,,,0.10804473304473304,5544,person
0.140406799728443,6994,0.9393701489446455,6994,,0,medium,7725,target_separation,,,,,,,0.9728219631783159,7725,0.10795496453012195,6994,,0,,,,,,,0.21246782956820132,6994,person
,0,0.9425586178904792,5915,,0,shared_only,10219,target_separation,,,,,,,0.7557695648459973,10219,0.09234707869058678,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
,,,,,,all,13127,overall,0.05158386648918659,5545,0.3327232072539344,5545,0.24314635436559182,5545,,,,,,,0.49103265840123456,6410,0.3603826090125857,6410,0.265042428944273,6410,,,frame
,,,,,,1,2482,crowd,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
,,,,,,2,5463,crowd,0.022135416666666668,2304,0.14382061241464297,2304,0.14382061241464297,2304,,,,,,,0.2348413117603103,2664,0.2348413117603103,2664,0.2792425154966108,2664,,,frame
,,,,,,3,3015,crowd,0.14105447276361818,1334,0.41164742677286353,1334,0.3458684549079405,1334,,,,,,,0.5722304714717933,1677,0.4707500410506279,1677,0.23473178676831358,1677,,,frame
,,,,,,4,1628,crowd,0.019766882960826723,1387,0.44004468986954876,1387,0.252451179733725,1387,,,,,,,0.7137991357520899,1530,0.41878804289728794,1530,0.2655882860272407,1530,,,frame
,,,,,,5+,539,crowd,0.0374023199023199,520,0.6809766174147398,520,0.3948952669538463,520,,,,,,,0.8722799767412835,539,0.47169154873182606,539,0.28761525828882784,539,,,frame
,,,,,,large,9971,head_size,0.06962780176845569,3242,0.23300866939886458,3242,0.18758943234817882,3242,,,,,,,0.3753455875563382,3713,0.29910049657625354,3713,0.26577292834196414,3713,,,frame
,,,,,,medium,3135,head_size,0.026423841520248178,2282,0.4745815609469687,2282,0.32144638007600623,2282,,,,,,,0.6529597226473336,2676,0.44579649627506734,2676,0.26269199089376016,2676,,,frame
,,,,,,small,21,head_size,0.0,21,0.31147409290307415,21,0.31147409290307415,21,,,,,,,0.31147409290307415,21,0.31147409290307415,21,0.43539614130354126,21,,,frame
