association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.21426829749761359,14740,0.9409485167635293,20655,,0,all,31978,overall,,,,,,,0.88179646912043,31978,0.10038583965228244,20655,,0,,,,,,,0.19314789687924017,14740,person
,0,0.955711744093432,1243,,0,1,2482,crowd,,,,,,,0.8865085533292723,2482,0.09133505325265336,1243,,0,,,,,,,,0,person
0.25407300304652825,4608,0.9588752700060457,7094,,0,2,10926,crowd,,,,,,,0.9286234969247696,10926,0.07338922149829538,7094,,0,,,,,,,0.08333333333333333,4608,person
0.20124082091411893,3265,0.934491082973398,4900,,0,3,9045,crowd,,,,,,,0.7723230197143233,9045,0.10387363067225851,4900,,0,,,,,,,0.21378254211332312,3265,person
0.23222301008606924,4509,0.9425700657751408,5003,,0,4,6512,crowd,,,,,,,0.9151204075498953,6512,0.10288824394384671,5003,,0,,,,,,,0.19605233976491462,4509,person
0.12018722405162757,2358,0.8904332939035172,2415,,0,5+,3013,crowd,,,,,,,0.9619430258612498,3013,0.1720853974206237,2415,,0,,,,,,,0.3736217133163698,2358,person
0.2510116892504764,8483,0.9551710950818106,13109,,0,large,22816,head_size,,,,,,,0.8737256554791677,22816,0.0764436206207005,13109,,0,,,,,,,0.12141930920664859,8483,person
0.15523844818330546,5029,0.918244501408996,6078,,0,medium,7592,head_size,,,,,,,0.8938187592773551,7592,0.138069487122612,6078,,0,,,,,,,0.2976734937363293,5029,person
0.202189242092174,1228,0.9079452648224537,1468,,0,small,1570,head_size,,,,,,,0.9557263632802326,1570,0.1581633191893019,1468,,0,,,,,,,0.26058631921824105,1228,person
0.23682904607760827,3100,0.9339744544003993,4900,,0,far,4900,target_distance,,,,,,,,4900,0.12256454364182279,4900,,0,,,,,,,0.25709677419354837,3100,person
0.21441050854733945,7195,0.9479392556605079,10337,,0,medium,10337,target_distance,,,,,,,,10337,0.08879137916763788,10337,,0,,,,,,,0.17859624739402363,7195,person
0.1983039489935054,4445,0.9339181804034835,5418,,0,near,5418,target_distance,,,,,,,,5418,0.102448646680895,5418,,0,,,,,,,0.172103487064117,4445,person
,0,,0,,0,out_or_missing,11323,target_distance,,,,,,,,11323,,0,,0,,,,,,,,0,person
,0,,0,,0,0,11323,inout,,,,,,,,11323,,0,,0,,,,,,,,0,person
0.21426829749761359,14740,0.9409485167635293,20655,,0,1,20655,inout,,,,,,,,20655,0.10038583965228244,20655,,0,,,,,,,0.19314789687924017,14740,person
0.03628415520590161,2202,0.9349135720977226,2202,,0,close,2480,target_separation,,,,,,,0.9610487462337054,2480,0.11408390239935172,2202,,0,,,,,,,0.36603088101725706,2202,person
0.37287075196296743,5544,0.9443200412986339,5544,,0,far,6852,target_separation,,,,,,,0.9188987326212601,6852,0.09616077701239599,5544,,0,,,,,,,0.1148989898989899,5544,person
0.1445841501957017,6994,0.9385269205294199,6994,,0,medium,7725,target_separation,,,,,,,0.9717297136859562,7725,0.10647232805923959,6994,,0,,,,,,,0.20074349442379183,6994,person
,0,0.9428984508620666,5915,,0,shared_only,10219,target_separation,,,,,,,0.7504342966245849,10219,0.09204969648883786,5915,,0,,,,,,,,0,person
,0,,0,,0,undefined,4702,target_separation,,,,,,,,4702,,0,,0,,,,,,,,0,person
,,,,,,all,13127,overall,0.05184922781856957,5545,0.3327292561177107,5545,0.24493137510102847,5545,,,,,,,0.4933731100330083,6410,0.3625120509968815,6410,0.26640965847509845,6410,,,frame
,,,,,,1,2482,crowd,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
,,,,,,2,5463,crowd,0.023003472222222224,2304,0.14669673009119313,2304,0.14669673009119313,2304,,,,,,,0.2404202300792855,2664,0.2404202300792855,2664,0.2748203256176674,2664,,,frame
,,,,,,3,3015,crowd,0.14205397301349326,1334,0.41426493500589295,1334,0.3487710257802927,1334,,,,,,,0.5743715586967931,1677,0.47101790894865336,1677,0.2425080394045963,1677,,,frame
,,,,,,4,1628,crowd,0.020043258832011534,1387,0.43479423748939267,1387,0.2525854697454062,1387,,,,,,,0.7113401388698622,1530,0.41786646867367766,1530,0.26808222675792787,1530,,,frame
,,,,,,5+,539,crowd,0.03308455433455434,520,0.6755873622056691,520,0.39338194976404817,520,,,,,,,0.8728583042206962,539,0.4712245335457799,539,0.29445783740032944,539,,,frame
,,,,,,large,9971,head_size,0.07010076084721366,3242,0.2367540257685492,3242,0.19244450897648552,3242,,,,,,,0.37910239600037754,3713,0.3041195733156381,3713,0.262027506728717,3713,,,frame
,,,,,,medium,3135,head_size,0.026396714104864848,2282,0.4686659066358654,2282,0.31827686334154787,2282,,,,,,,0.6528336563057386,2676,0.44341356370740725,2676,0.27164879399989994,2676,,,frame
,,,,,,small,21,head_size,0.0,21,0.3776940327630702,21,0.3776940327630702,21,,,,,,,0.3776940327630702,21,0.3776940327630702,21,0.37360026656775397,21,,,frame
,,,,,,close,712,target_separation,0.09351591760299625,712,0.6581829228759593,712,0.4581002339706134,712,,,,,,,0.6743753117855427,712,0.46905342147235163,712,0.1766829477441811,712,,,frame
,,,,,,far,2184,target_separation,0.02313797313797314,2184,0.19178555894905075,2184,0.15250058754992238,2184,,,,,,,0.3956615216280279,2184,0.24084990505438292,2184,0.3846024472530711,2184,,,frame
,,,,,,medium,2649,target_separation,0.06432136715262422,2649,0.3614563319517916,2649,0.2638413835934676,2649,,,,,,,0.4058365612533464,2649,0.28399925980756957,2649,0.24624174139860283,2649,,,frame
,,,,,,shared_only,4846,target_separation,,0,,0,,0,,,,,,,0.859168322918554,865,0.8224346577256324,865,0.1036087101340093,865,,,frame
,,,,,,undefined,2736,target_separation,,0,,0,,0,,,,,,,,0,,0,,0,,,frame
