absolute_calibration_error,bin,brier,dimension,ece,gt_step,inout_ap,l2,model,motion_residual,n,positive_rate,prediction_step,score_step,sequence_n
0.24944706204538086,all,0.13014660057332295,overall,0.025638608940347845,0.0059218882811410915,0.8987355914488604,0.10301232953128411,baseline_v0_448,0.01977090139258621,31680,0.6463383838383838,0.024704414011822277,0.018064106746422014,131
0.7262591035163984,in_to_out,0.5818638849877609,state,0.7262591035163984,,,,baseline_v0_448,,238,0.0,0.07093097859852368,0.047483473794609155,90
0.30569279988795384,out_to_in,0.15953890920741312,state,0.3056927998879539,,,0.16410733362484337,baseline_v0_448,,251,1.0,0.06339043804821573,0.0652038914652864,96
0.17799204718888098,stable_in,0.060986551541216454,state,0.17799204718888095,0.0059218882811410915,,0.10225411711954203,baseline_v0_448,0.01977090139258621,20225,1.0,0.0159357821255554,0.012036681212614347,119
0.369598323161934,stable_out,0.24722446018635968,state,0.3695983231619339,,,,baseline_v0_448,,10966,0.0,0.03898796913629591,0.02746323004565205,118
0.2453561721711034,stable,0.12646328861930436,regime,0.02357297172404984,0.0059218882811410915,0.9043941129555796,0.10225411711954203,baseline_v0_448,0.01977090139258621,31191,0.6484242249366805,0.02404037264076108,0.017460282075141727,131
0.5103856020629433,switch,0.36508767042566015,regime,0.31126260303759834,,0.49234746410119706,0.16410733362484337,baseline_v0_448,,489,0.5132924335378323,0.0670604761892654,0.056579230104097884,108
0.27024663701996315,1,0.12537127253635558,crowd_bin,0.061769998770851,0.009849467486820297,0.9052872317025424,0.09419231682209234,baseline_v0_448,0.026038594915375756,2450,0.503265306122449,0.03845187519600537,0.025729723292945577,33
0.23790399897909215,2,0.12070717661140695,crowd_bin,0.019505297107764868,0.00520782389374617,0.9205233457688982,0.07489713017022291,baseline_v0_448,0.018980805785844088,10803,0.6498194945848376,0.02521907011257869,0.02217861583846479,64
0.29756643924940474,3,0.1732240236194843,crowd_bin,0.09276341798293321,0.005162841942398025,0.810484043072907,0.10003719996885434,baseline_v0_448,0.017118558921045263,8976,0.5418894830659536,0.02517545814113749,0.01818638062795904,26
0.21147152460874,4,0.10238362710922776,crowd_bin,0.04565114273859701,0.005899276914079686,0.9281753907062752,0.10999221016028021,baseline_v0_448,0.01713110047393069,6468,0.7683982683982684,0.017863609250154993,0.011584178084570244,11
0.2117155829888152,5+,0.09882967595199266,crowd_bin,0.06828257052840779,0.007589927032744574,0.9452336145162253,0.18171672411086998,baseline_v0_448,0.029724059653358104,2983,0.8008716057660074,0.02496493138896289,0.010549807706482384,5
0.2460057967012932,large,0.13195931688910753,head_size_bin,0.04316854676917191,0.005904548115456956,0.8925364349135225,0.08057002675595039,baseline_v0_448,0.016555534554023792,22606,0.5748473856498275,0.02493114150849075,0.01973899457170526,121
0.25667752643503455,medium,0.13072655777405393,head_size_bin,0.03730996444832503,0.00660447071179497,0.9046347726026771,0.14010715379156335,baseline_v0_448,0.025320576613032518,7520,0.8014627659574468,0.023666669620351116,0.013500550038929277,45
0.2645179450300976,small,0.1009705753583143,head_size_bin,0.1726037839875872,0.003263013237105927,0.961718198745563,0.14982609758407547,baseline_v0_448,0.025498770302464543,1554,0.9356499356499357,0.026427989323389533,0.015783175126082495,12
0.18327372216735488,far,0.07656233329717534,target_distance_bin,0.18327372216735485,0.00672395364902266,,0.1347856934244536,baseline_v0_448,0.02523933758824787,4857,1.0,0.02189111976445834,0.014701736617314408,82
0.16673491394337736,medium,0.050592838114759425,target_distance_bin,0.1667349139433774,0.00618873706358071,,0.09214500720998706,baseline_v0_448,0.018250921539886163,10237,1.0,0.014845751209812479,0.012228548747329841,104
0.20059313722813035,near,0.07129601161779833,target_distance_bin,0.20059313722813038,0.0046953140994271565,,0.09500890146996742,baseline_v0_448,0.017747167516152008,5382,1.0,0.014847839020556591,0.011746203271311852,59
0.3771746589102706,out_or_missing,0.25433300919588603,target_distance_bin,0.3771746589102706,,,,baseline_v0_448,,11204,0.0,0.03966651574929218,0.027888508340212188,120
0.23880684258843168,all,0.1402247117194027,overall,0.06211626860179631,0.0059218882811410915,0.886563429534142,0.09879744765033391,learned_sasa_ggsf_512,0.020630248293377396,31680,0.6463383838383838,0.02608174941201801,0.020159632162933417,131
0.7418943070894608,in_to_out,0.6196615836748081,state,0.7418943070894608,,,,learned_sasa_ggsf_512,,238,0.0,0.05279276821876337,0.06542549269007784,90
0.2925609273648639,out_to_in,0.16627239467821228,state,0.29256092736486394,,,0.1591529996946504,learned_sasa_ggsf_512,,251,1.0,0.06268771025298714,0.08149643960423708,96
0.16231029349526596,stable_in,0.0699107528099193,state,0.16231029349526596,0.0059218882811410915,,0.09804841212187292,learned_sasa_ggsf_512,0.020630248293377396,20225,1.0,0.01675530471387763,0.01457924173870878,119
0.36774315606455316,stable_out,0.25890571436359877,state,0.3677431560645531,,,,learned_sasa_ggsf_512,,10966,0.0,0.04186526440133049,0.02806539386790475,118
0.2345355113765395,stable,0.13635680290121646,regime,0.05793921353995553,0.0059218882811410915,0.8921259987348564,0.09804841212187292,learned_sasa_ggsf_512,0.020630248293377396,31191,0.6484242249366805,0.025583358252802578,0.01932064612615269,131
0.5112548831408436,switch,0.3869403435150013,regime,0.35101057469353447,,0.49305869791258233,0.1591529996946504,learned_sasa_ggsf_512,,489,0.5132924335378323,0.05787176709522588,0.07367458814090395,108
0.2589518054448334,1,0.1465303056186711,crowd_bin,0.08458938038860428,0.009849467486820297,0.8927624535422995,0.09149323878061662,learned_sasa_ggsf_512,0.028094134578935424,2450,0.503265306122449,0.042282041868832006,0.027682692726066677,33
0.23009319444329812,2,0.13047119283914566,crowd_bin,0.053426643852877445,0.00520782389374617,0.9297106350851697,0.07420721533463148,learned_sasa_ggsf_512,0.020459131517910865,10803,0.6498194945848376,0.026524507544618853,0.024429084458604776,64
0.28838886219580645,3,0.1822133979136163,crowd_bin,0.12337792705197483,0.005162841942398025,0.7772212197015413,0.09842953901266156,learned_sasa_ggsf_512,0.01823036847156771,8976,0.5418894830659536,0.025893493268160733,0.019985163429954683,26
0.1982469277615655,4,0.11994456724519839,crowd_bin,0.05975783856147316,0.005899276914079686,0.9156727192749273,0.1009618649896628,learned_sasa_ggsf_512,0.018743292632122658,6468,0.7683982683982684,0.019727297518456612,0.012998766282737275,11
