method,coverage,risk
random,0.00625,0.12125799725022857
random,0.0125,0.07413467361204706
random,0.01875,0.05343042980067006
random,0.025,0.08264632269843494
random,0.03125,0.09571037423837156
random,0.0375,0.08236350206066881
random,0.04375,0.09151209567815412
random,0.05,0.1017609467362318
random,0.05625,0.10651271079605767
random,0.0625,0.0987778801070939
random,0.06875,0.09465606822655404
random,0.075,0.0964010433837454
random,0.08125,0.10832228850712632
random,0.0875,0.10170365595421105
random,0.09375,0.09564145207554461
random,0.1,0.09168849990570259
random,0.10625,0.08815211879303197
random,0.1125,0.09364163164629277
random,0.11875,0.09639657665078293
random,0.125,0.09312511384077571
random,0.13125,0.09036708910351295
random,0.1375,0.0878928657424992
random,0.14375,0.08691690454960459
random,0.15,0.0848508399054238
random,0.15625,0.08663259672625571
random,0.1625,0.08459315323163523
random,0.16875,0.08374353134911611
random,0.175,0.08727668698248617
random,0.18125,0.08518135243619007
random,0.1875,0.0892588414159523
random,0.19375,0.09383705000369098
random,0.2,0.09365785225312995
random,0.20625,0.09248539408417769
random,0.2125,0.09065677274223878
random,0.21875,0.08894422558485357
random,0.225,0.09227651488726482
random,0.23125,0.09205476874353237
random,0.2375,0.09004694175621801
random,0.24375,0.09323652437929719
random,0.25,0.0964565196173966
random,0.25625,0.09505877681727021
random,0.2625,0.09705668092421876
random,0.26875,0.09553029673600442
random,0.275,0.0941430214830557
random,0.28125,0.09246721312110022
random,0.2875,0.0908266272954551
random,0.29375,0.0890481928822141
random,0.3,0.09160550085251952
random,0.30625,0.09043423794155596
random,0.3125,0.0937554986098442
random,0.31875,0.09347783816980555
random,0.325,0.09251893388893036
random,0.33125,0.0932268829768684
random,0.3375,0.09287194584159739
random,0.34375,0.09618125715603734
random,0.35,0.09468852019258367
random,0.35625,0.09346226145949768
random,0.3625,0.09527826309096325
random,0.36875,0.09400981082011851
random,0.375,0.0929096312721409
random,0.38125,0.09210437253850465
random,0.3875,0.0951198332859201
random,0.39375,0.09679022106566863
random,0.4,0.09602604133383368
random,0.40625,0.09520275785400711
random,0.4125,0.09454604388707845
random,0.41875,0.09492541324215192
random,0.425,0.09382020053209784
random,0.43125,0.09259915319340237
random,0.4375,0.09204867043294031
random,0.44375,0.0913638289791957
random,0.45,0.09040784534636526
random,0.45625,0.09054403868417611
random,0.4625,0.08975835764166429
random,0.46875,0.08866950604348874
random,0.475,0.08987296031540223
random,0.48125,0.09098667158442596
random,0.4875,0.09096027946896292
random,0.49375,0.09053617625423901
random,0.5,0.09028195672229306
random,0.50625,0.08977300785972181
random,0.5125,0.08903879626996007
random,0.51875,0.09062788203403467
random,0.525,0.08993158178450923
random,0.53125,0.08898922526056204
random,0.5375,0.08929716803115052
random,0.54375,0.09141518099795605
random,0.55,0.09073731805315881
random,0.55625,0.09206170959263671
random,0.5625,0.09125957916555312
random,0.56875,0.09100807702643804
random,0.575,0.09100980959240035
random,0.58125,0.09033805029919716
random,0.5875,0.08972669457409936
random,0.59375,0.08910312562339934
random,0.6,0.08854853020040084
random,0.60625,0.0878708235121906
random,0.6125,0.08757182750822838
random,0.61875,0.08709167430012794
random,0.625,0.08732381142931984
random,0.63125,0.08665849232050293
random,0.6375,0.0861750057170056
random,0.64375,0.08717223593554856
random,0.65,0.08832500204536838
random,0.65625,0.08789478890904613
random,0.6625,0.08826184045414852
