crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
,,,layer_11,,0.0,spatial_variance,1,layer,
,,,layer_11,,1.0,token_cosine,1,layer,
,,,layer_2,,14.297096539801625,effective_rank,1,layer,
,,,layer_2,,0.8935685337376016,normalized_effective_rank,1,layer,
,,,layer_2,,0.9900167136186397,spatial_variance,1,layer,
,,,layer_2,,0.0018548895618375437,token_cosine,1,layer,
,,,layer_5,,14.309165854072209,effective_rank,1,layer,
,,,layer_5,,0.894322865879513,normalized_effective_rank,1,layer,
,,,layer_5,,0.8193578566871985,spatial_variance,1,layer,
,,,layer_5,,0.0002834580879573496,token_cosine,1,layer,
,,,layer_8,,13.969493764150787,effective_rank,1,layer,
,,,layer_8,,0.8730933602594242,normalized_effective_rank,1,layer,
,,,layer_8,,1.0655021886051386,spatial_variance,1,layer,
,,,layer_8,,-0.004781606405413088,token_cosine,1,layer,
,,,layer_2,layer_11,0.0,directional_novelty,1,pair,
,,,layer_2,layer_11,0.0,linear_cka,1,pair,
,,,layer_2,layer_5,1.38652453236975e-30,directional_novelty,1,pair,
,,,layer_2,layer_5,0.9897303771971115,linear_cka,1,pair,
,,,layer_2,layer_8,1.1688574732094198e-30,directional_novelty,1,pair,
,,,layer_2,layer_8,0.1932664161692551,linear_cka,1,pair,
,,,layer_5,layer_11,0.0,directional_novelty,1,pair,
,,,layer_5,layer_11,0.0,linear_cka,1,pair,
,,,layer_5,layer_8,1.3541909508570402e-30,directional_novelty,1,pair,
,,,layer_5,layer_8,0.19441769674993517,linear_cka,1,pair,
,,,layer_8,layer_11,0.0,directional_novelty,1,pair,
,,,layer_8,layer_11,0.0,linear_cka,1,pair,
4+,small,all_in,layer_11,,0.0,spatial_variance,1,layer,
4+,small,all_in,layer_11,,1.0,token_cosine,1,layer,
4+,small,all_in,layer_2,,14.297096539801625,effective_rank,1,layer,
4+,small,all_in,layer_2,,0.8935685337376016,normalized_effective_rank,1,layer,
4+,small,all_in,layer_2,,0.9900167136186397,spatial_variance,1,layer,
4+,small,all_in,layer_2,,0.0018548895618375437,token_cosine,1,layer,
4+,small,all_in,layer_5,,14.309165854072209,effective_rank,1,layer,
4+,small,all_in,layer_5,,0.894322865879513,normalized_effective_rank,1,layer,
4+,small,all_in,layer_5,,0.8193578566871985,spatial_variance,1,layer,
4+,small,all_in,layer_5,,0.0002834580879573496,token_cosine,1,layer,
4+,small,all_in,layer_8,,13.969493764150787,effective_rank,1,layer,
4+,small,all_in,layer_8,,0.8730933602594242,normalized_effective_rank,1,layer,
4+,small,all_in,layer_8,,1.0655021886051386,spatial_variance,1,layer,
4+,small,all_in,layer_8,,-0.004781606405413088,token_cosine,1,layer,
4+,small,all_in,layer_2,layer_11,0.0,directional_novelty,1,pair,
4+,small,all_in,layer_2,layer_11,0.0,linear_cka,1,pair,
4+,small,all_in,layer_2,layer_5,1.38652453236975e-30,directional_novelty,1,pair,
4+,small,all_in,layer_2,layer_5,0.9897303771971115,linear_cka,1,pair,
4+,small,all_in,layer_2,layer_8,1.1688574732094198e-30,directional_novelty,1,pair,
4+,small,all_in,layer_2,layer_8,0.1932664161692551,linear_cka,1,pair,
4+,small,all_in,layer_5,layer_11,0.0,directional_novelty,1,pair,
4+,small,all_in,layer_5,layer_11,0.0,linear_cka,1,pair,
4+,small,all_in,layer_5,layer_8,1.3541909508570402e-30,directional_novelty,1,pair,
4+,small,all_in,layer_5,layer_8,0.19441769674993517,linear_cka,1,pair,
4+,small,all_in,layer_8,layer_11,0.0,directional_novelty,1,pair,
4+,small,all_in,layer_8,layer_11,0.0,linear_cka,1,pair,
