crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,metric,people_count,sample_id,scope,value
4+,small,all_in,layer_2,,token_cosine,4,synthetic_0,layer,0.0018548895618375437
4+,small,all_in,layer_2,,effective_rank,4,synthetic_0,layer,14.297096539801625
4+,small,all_in,layer_2,,normalized_effective_rank,4,synthetic_0,layer,0.8935685337376016
4+,small,all_in,layer_2,,spatial_variance,4,synthetic_0,layer,0.9900167136186397
4+,small,all_in,layer_5,,token_cosine,4,synthetic_0,layer,0.0002834580879573496
4+,small,all_in,layer_5,,effective_rank,4,synthetic_0,layer,14.309165854072209
4+,small,all_in,layer_5,,normalized_effective_rank,4,synthetic_0,layer,0.894322865879513
4+,small,all_in,layer_5,,spatial_variance,4,synthetic_0,layer,0.8193578566871985
4+,small,all_in,layer_8,,token_cosine,4,synthetic_0,layer,-0.004781606405413088
4+,small,all_in,layer_8,,effective_rank,4,synthetic_0,layer,13.969493764150787
4+,small,all_in,layer_8,,normalized_effective_rank,4,synthetic_0,layer,0.8730933602594242
4+,small,all_in,layer_8,,spatial_variance,4,synthetic_0,layer,1.0655021886051386
4+,small,all_in,layer_11,,token_cosine,4,synthetic_0,layer,1.0
4+,small,all_in,layer_11,,effective_rank,4,synthetic_0,layer,
4+,small,all_in,layer_11,,normalized_effective_rank,4,synthetic_0,layer,
4+,small,all_in,layer_11,,spatial_variance,4,synthetic_0,layer,0.0
4+,small,all_in,layer_2,layer_5,linear_cka,4,synthetic_0,pair,0.9897303771971115
4+,small,all_in,layer_2,layer_5,directional_novelty,4,synthetic_0,pair,1.38652453236975e-30
4+,small,all_in,layer_2,layer_8,linear_cka,4,synthetic_0,pair,0.1932664161692551
4+,small,all_in,layer_2,layer_8,directional_novelty,4,synthetic_0,pair,1.1688574732094198e-30
4+,small,all_in,layer_2,layer_11,linear_cka,4,synthetic_0,pair,0.0
4+,small,all_in,layer_2,layer_11,directional_novelty,4,synthetic_0,pair,0.0
4+,small,all_in,layer_5,layer_8,linear_cka,4,synthetic_0,pair,0.19441769674993517
4+,small,all_in,layer_5,layer_8,directional_novelty,4,synthetic_0,pair,1.3541909508570402e-30
4+,small,all_in,layer_5,layer_11,linear_cka,4,synthetic_0,pair,0.0
4+,small,all_in,layer_5,layer_11,directional_novelty,4,synthetic_0,pair,0.0
4+,small,all_in,layer_8,layer_11,linear_cka,4,synthetic_0,pair,0.0
4+,small,all_in,layer_8,layer_11,directional_novelty,4,synthetic_0,pair,0.0
