component,crowd_bin,mean,metric,n,std,variance_across_observations
ggsf,2-3,0.4,dynamic_range,2,0.5656854249492381,0.32000000000000006
ggsf,2-3,0.26,identity_l1,2,0.1979898987322333,0.03919999999999999
ggsf,2-3,0.2996428571428571,inter_person_l1,1,,
ggsf,2-3,0.94,max,2,0.08485281374238571,0.0072
ggsf,2-3,0.74,mean,2,0.19798989873223333,0.039200000000000006
ggsf,2-3,0.54,min,2,0.48083261120685233,0.23120000000000002
ggsf,2-3,0.9903215202875517,spatial_entropy,2,0.013687437272497218,0.00018734593908854605
ggsf,2-3,0.11728859175816612,std,2,0.16587111717603975,0.02751322751322751
ggsf,2-3,0.02751322751322751,variance,2,0.03890957949386293,0.0015139553763892386
sasa,2-3,0.9616098361677539,entropy,2,0.054291890353287485,0.0029476093581333905
sasa,2-3,0.05,inter_person_l1,1,,
sasa,2-3,0.325,max_weight,2,0.10606601717798214,0.011250000000000003
sasa,2-3,0.05,uniform_l1,2,0.07071067811865477,0.005000000000000001
sasa,2-3,0.175,weight_layer_0,2,0.10606601717798213,0.01125
sasa,2-3,0.225,weight_layer_1,2,0.03535533905932737,0.0012499999999999994
sasa,2-3,0.275,weight_layer_2,2,0.03535533905932737,0.0012499999999999994
sasa,2-3,0.325,weight_layer_3,2,0.10606601717798214,0.011250000000000003
