component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,2-3,medium,all_in,mean,2,0,synthetic_0,0.6
ggsf,2-3,medium,all_in,variance,2,0,synthetic_0,0.05502645502645502
ggsf,2-3,medium,all_in,std,2,0,synthetic_0,0.23457718351633225
ggsf,2-3,medium,all_in,min,2,0,synthetic_0,0.2
ggsf,2-3,medium,all_in,max,2,0,synthetic_0,1.0
ggsf,2-3,medium,all_in,spatial_entropy,2,0,synthetic_0,0.9806430405751034
ggsf,2-3,medium,all_in,identity_l1,2,0,synthetic_0,0.39999999999999997
ggsf,2-3,medium,all_in,dynamic_range,2,0,synthetic_0,0.8
ggsf,2-3,medium,all_in,mean,2,1,synthetic_0,0.88
ggsf,2-3,medium,all_in,variance,2,1,synthetic_0,0.0
ggsf,2-3,medium,all_in,std,2,1,synthetic_0,0.0
ggsf,2-3,medium,all_in,min,2,1,synthetic_0,0.88
ggsf,2-3,medium,all_in,max,2,1,synthetic_0,0.88
ggsf,2-3,medium,all_in,spatial_entropy,2,1,synthetic_0,1.0
ggsf,2-3,medium,all_in,identity_l1,2,1,synthetic_0,0.12
ggsf,2-3,medium,all_in,dynamic_range,2,1,synthetic_0,0.0
ggsf,2-3,medium,all_in,inter_person_l1,2,all,synthetic_0,0.2996428571428571
sasa,2-3,medium,all_in,entropy,2,0,synthetic_0,0.9232196723355078
sasa,2-3,medium,all_in,max_weight,2,0,synthetic_0,0.4
sasa,2-3,medium,all_in,uniform_l1,2,0,synthetic_0,0.1
sasa,2-3,medium,all_in,weight_layer_0,2,0,synthetic_0,0.1
sasa,2-3,medium,all_in,weight_layer_1,2,0,synthetic_0,0.2
sasa,2-3,medium,all_in,weight_layer_2,2,0,synthetic_0,0.3
sasa,2-3,medium,all_in,weight_layer_3,2,0,synthetic_0,0.4
sasa,2-3,medium,all_in,entropy,2,1,synthetic_0,1.0
sasa,2-3,medium,all_in,max_weight,2,1,synthetic_0,0.25
sasa,2-3,medium,all_in,uniform_l1,2,1,synthetic_0,0.0
sasa,2-3,medium,all_in,weight_layer_0,2,1,synthetic_0,0.25
sasa,2-3,medium,all_in,weight_layer_1,2,1,synthetic_0,0.25
sasa,2-3,medium,all_in,weight_layer_2,2,1,synthetic_0,0.25
sasa,2-3,medium,all_in,weight_layer_3,2,1,synthetic_0,0.25
sasa,2-3,medium,all_in,inter_person_l1,2,all,synthetic_0,0.05
